row_label_raw,row_label_full,Stt,Tên công ty con,numeric__Tên công ty con
1,1,1,Công ty TNHH MTV Tổng Công ty Cao s,
2,2,2,Công ty TNHH MTV Cao su Bình Long,
3,3,3,Công ty TNHH MTV Cao su Dầu Tiếng,
4,4,4,Công ty TNHH MTV Cao su Lộc Ninh,
5,5,5,Công ty TNHH MTV Cao su Phú Riếng,
6,6,6,Công ty TNHH MTV Cao su Krông Buk,
7,7,7,Công ty TNHH MTV Cao su Eah Leo,
8,8,8,Công ty TNHH MTV Cao su Chư Prông,
9,9,9,Công ty TNHH MTV Cao su Chư Sê,
10,10,10,Công ty TNHH MTV Cao su Kon Tum,
11,11,11,Công ty TNHH MTV Cao su Mang Yang,
