row_label_raw,row_label_full,14. Bất động sản đầu tư,01/01/2024,Biến động trong năm > Tăng,Biến động trong năm > Giảm,31/12/2024,numeric__01/01/2024,numeric__Biến động trong năm > Tăng,numeric__Biến động trong năm > Giảm,numeric__31/12/2024
a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,,,,,,,,
Nguyên giá,a. Bất động sản đầu tư cho thuê > Nguyên giá,Nguyên giá,2.277.537.159.287,-,(62.752.811.377),2.340.289.970.664,2277537159287.0,,-62752811377.0,2340289970664.0
- Quyền sử dụng đất,a. Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,242.026.264.360,,-,242.026.264.360,242026264360.0,,,242026264360.0
- Cơ sở hạ tầng,a. Bất động sản đầu tư cho thuê > - Cơ sở hạ tầng,- Cơ sở hạ tầng,2.035.510.894.927,-,(62.752.811.377),2.098.263.706.304,2035510894927.0,,-62752811377.0,2098263706304.0
Giá trị hao mòn lũy kế,a. Bất động sản đầu tư cho thuê > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,933.514.913.911,120.077.874.881,-,1.053.592.788.792,933514913911.0,120077874881.0,,1053592788792.0
- Quyền sử dụng đất,a. Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,72.532.780.363,-,,72.532.780.363,72532780363.0,,,72532780363.0
- Cơ sở hạ tầng,a. Bất động sản đầu tư cho thuê > - Cơ sở hạ tầng,- Cơ sở hạ tầng,860.982.133.548,120.077.874.881,,981.060.008.429,860982133548.0,120077874881.0,,981060008429.0
Giá trị còn lại,a. Bất động sản đầu tư cho thuê > Giá trị còn lại,Giá trị còn lại,1.344.022.245.376,,,1.286.697.181.872,1344022245376.0,,,1286697181872.0
- Quyền sử dụng đất,a. Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,169.493.483.997,,,169.493.483.997,169493483997.0,,,169493483997.0
- Cơ sở hạ tầng,a. Bất động sản đầu tư cho thuê > - Cơ sở hạ tầng,- Cơ sở hạ tầng,1.174.528.761.379,,,1.117.203.697.875,1174528761379.0,,,1117203697875.0
