row_label_raw,row_label_full,Indicator,Exchange rate difference,Development investment fund,Other fund under owners' quity,Undistributed after-tax profit,Non-controlling interests,Total,numeric__Exchange rate difference,numeric__Development investment fund,numeric__Other fund under owners' quity,numeric__Undistributed after-tax profit,numeric__Non-controlling interests,numeric__Total
,,,417,418,420,421,429,,417.0,418.0,420.0,421.0,429.0,
Opening balance of the previous year,Opening balance of the previous year,Opening balance of the previous year,"253,777,611,514","5,089,160,674,135","252,909,421","5,020,241,316,983","4,445,429,928,494","53,443,146,128,753",,,,,,
- Increase during the previous year,- Increase during the previous year,- Increase during the previous year,"206,883,469,908","319,333,799,359",,,,"653,211,667,371",,,,,,
- Profit/loss for the current year,- Profit/loss for the current year,- Profit/loss for the current year,,,,"2,623,175,190,293","749,686,472,396","3,372,861,662,689",,,,,,
- Decrease during the previous year,- Decrease during the previous year,- Decrease during the previous year,,,,"(2,456,021,395,005)","(76,900,334,179)","(2,532,921,729,184)",,,,,,
Opening balance of the current year,Opening balance of the current year,Opening balance of the current year,"460,661,081,422","5,408,494,473,494","252,909,421","5,187,395,112,271","5,118,216,066,711","54,936,297,729,629",,,,,,
- Increase during the period,- Increase during the period,- Increase during the period,"888,292,933,264","1,169,112,409,638",,-,-,"2,057,405,342,902",,,,,,
- Profit/loss for the period,- Profit/loss for the period,- Profit/loss for the period,,,,"3,988,716,618,482","837,949,408,469","53,443,146,128,753",,,,,,
- Decrease during the period,- Decrease during the period,- Decrease during the period,,,,,,"53,443,146,128,753",,,,,,
Ending balance of the current year,Ending balance of the current year,Ending balance of the current year,"1,348,954,014,686","6,577,606,883,132","252,909,421","6,240,538,555,065","5,415,074,532,442","58,343,704,981,056",,,,,,
