row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiệnvận tải truyền dẫn,Thiết bịdụng cụ quản lý,Vuồn câykinh doanh,Tài sảncó định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải truyền dẫn,numeric__Thiết bịdụng cụ quản lý,numeric__Vuồn câykinh doanh,numeric__Tài sảncó định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,12.805.110.359.811,6.434.475.255.562,2.088.569.700.493,283.814.029.959,33.188.688.564.187,94.852.380.366,54.895.510.290.377,12805110359811.0,6434475255562.0,2088569700493.0,283814029959.0,33188688564187.0,94852380366.0,54895510290377.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,9.178.808.812,62.838.773.554,67.458.181.102,3.077.721.255,80.788.399.663,3.227.990.204,226.569.874.590,9178808812.0,62838773554.0,67458181102.0,3077721255.0,80788399663.0,3227990204.0,226569874590.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,351.068.007.919,89.679.605.367,18.969.175.570,5.940.616.804,1.830.036.414.103,1.792.124.726,2.297.485.944.489,351068007919.0,89679605367.0,18969175570.0,5940616804.0,1830036414103.0,1792124726.0,2297485944489.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,10.454.868.662,1.204.360.459,3.276.964.888,104.860.000,190.416.504.724,-,205.457.558.733,10454868662.0,1204360459.0,3276964888.0,104860000.0,190416504724.0,,205457558733.0
- Chênh lệch do chuyển đổi BCTC,Nguyên giá > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,149.968.730.290,30.134.486.175,19.671.536.808,928.092.977,944.960.353.267,7.585.926,1.145.670.785.443,149968730290.0,30134486175.0,19671536808.0,928092977.0,944960353267.0,7585926.0,1145670785443.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,3.822.944.138,105.026.184,192.225.245,(105.026.184),-,-,4.015.169.383,3822944138.0,105026184.0,192225245.0,-105026184.0,,,4015169383.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(30.239.743.689),(13.911.626.876),(24.257.778.003),(2.618.377.652),(372.547.589.051),(323.895.885),(443.899.011.156),-30239743689.0,-13911626876.0,-24257778003.0,-2618377652.0,-372547589051.0,-323895885.0,-443899011156.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(3.085.683.157),(378.578.672),(509.090.909),-,(3.491.402.521),-,(7.464.755.259),-3085683157.0,-378578672.0,-509090909.0,,-3491402521.0,,-7464755259.0
- Giảm do phân loại lại,Nguyên giá > - Giảm do phân loại lại,- Giảm do phân loại lại,-,-,(465.141.431),-,-,(3.550.027.952),(4.015.169.383),,,-465141431.0,,,-3550027952.0,-4015169383.0
