row_label_raw,row_label_full,10. Thu nhập khác,Năm 2024,Năm 2023,numeric__Năm 2024,numeric__Năm 2023
"- Thu nhập từ cây cao su thanh lý, gãy đồ","- Thu nhập từ cây cao su thanh lý, gãy đồ","- Thu nhập từ cây cao su thanh lý, gãy đồ",770.981.158.401,721.756.764.718,770981158401.0,721756764718.0
- Tiền bồi thường,- Tiền bồi thường,- Tiền bồi thường,227.052.231.668,557.687.068.730,227052231668.0,557687068730.0
- Tiền phat thu được,- Tiền phat thu được,- Tiền phat thu được,21.714.512.752,19.301.509.790,21714512752.0,19301509790.0
- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,- Thu nhập từ sửa chữa đường lô và các hoạt động hoàn nguyên trong vườn cây cao su,,1.130.430.000,,1130430000.0
"- Nhượng bán vật tư, phế liệu","- Nhượng bán vật tư, phế liệu","- Nhượng bán vật tư, phế liệu",13.938.291.521,19.164.917.538,13938291521.0,19164917538.0
- Hoàn nhập Quỹ PT khoa học công nghệ,- Hoàn nhập Quỹ PT khoa học công nghệ,- Hoàn nhập Quỹ PT khoa học công nghệ,32.978.105.725,19.366.278.686,32978105725.0,19366278686.0
- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,10.955.975.335,6.372.855.668,10955975335.0,6372855668.0
- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,54.577.443.097,53.395.957.353,54577443097.0,53395957353.0
- Các khoản khác,- Các khoản khác,- Các khoản khác,246.019.624.767,256.039.315.364,246019624767.0,256039315364.0
Cộng,Cộng,Cộng,1.378.217.343.266,1.654.215.097.847,1378217343266.0,1654215097847.0
