row_label_raw,row_label_full,No,Name,Registered office's address,Principal activities,Economic Benefit Ratio,numeric__Name,numeric__Registered office's address,numeric__Principal activities,numeric__Economic Benefit Ratio
1,1,1,Thong Nhat Joint Stock Company,"Bau Xeo Industrial Park, Song Trau Commune, Trang Bom District, Dong Nai Province",Infrastructure development and business operations in industrial parks; power and clean water supply; wastewater treatment services,36.07%,,,,36.07
2,2,2,Vietnam Rubber Industry Urban and Industrial Park Development Joint Stock Company,"165 Bach Dang, Hai Duong City, Hai Duong Province","Infrastructure development and business operations in industrial parks; housing, apartment, office construction; mining and processing of minerals; leasing land, warehouses, offices, housing, and parking lots.",36.25%,,,,36.25
3,3,3,Visorutex Rubber Science Research & Experimental Production Company Limited,"8 Tran Qui Khach, District 1, Ho Chi Minh City","Rubber tree planting, exploitation, processing, and export",27.57%,,,,27.57
4,4,4,Binh Phuoc Infrastructure Construction Investment Joint Stock Company,"Hoa Vinh Hamlet, Thanh Tam Commune, Chon Thanh District, Binh Phuoc Province",Production of building materials from clay; construction of various types of houses; railway and road construction; wholesale distribution,29.17%,,,,29.17
5,5,5,BOT DT.741 Road Business Joint Stock Company,"Km 72+000, DT.741 Road, Thuan Hai Hamlet, Thuan Phu Commune, Dong Phu District, Binh Phuoc Province",Production of concrete and products from cement and gypsum; construction of various types of houses; railway and road construction.,16.89%,,,,16.89
6,6,6,VRG Dongwha MDF Wood Joint Stock Company,"Lot G, Minh Hung III Industrial Park, Minh Hung Commune, Chon Thanh District, Binh Phuoc Province","Forest planting, wood exploitation, and processing; production and business of MDF wood and chemicals for the wood industry",49.00%,,,,49.0
7,7,7,Ho Chi Minh City Rubber Joint Stock Company,"636 Vo Van Kiet Street, Ward 1, District 5, Ho Chi Minh City","Land reclamation, planting, care, exploitation, processing, and trading of rubber products; production, trade, and processing of agricultural and forestry products for export",27.14%,,,,27.14
8,8,8,Ben Thanh Rubber Joint Stock Company,"Lot B3,1, Northwest Cu Chi Industrial Park, Ho Chi Minh City","Production and trade of rubber products; conveyor belts, curroie belts, raw rubber, technical rubber products",48.27%,,,,48.27
