row_label_raw,row_label_full,Stt,Tên công ty con,Nơi thành lập và hoạt động,Hoạt động kinh doanh chính,Tỷ lệ lợi ích kinh tế 31/12/2024,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích kinh tế 31/12/2024
43,43,43,Công ty Cổ phần Cao su Tây Ninh,"Quốc lô 22B, xã Hiệp Thạnh, huyện Gò Dầu, tỉnh Tây Ninh","Trồng, chăm sóc, khai thác, chế biến và tiêu thụ cao su thiên nhiên","60,00%",,,,0.6
44,44,44,Công ty Cổ phần Cao su Sơn La,"Tổ 11, Phường Chiềng Lẻ, TP Sơn La, Tỉnh Sơn La","Trồng, chăm sóc, khai thác và chế biến mủ cao su","99,36%",,,,0.9936
45,45,45,Công ty Cổ phần Cao Su Điện Biên,"Đội 19, xã Thanh Hưng, huyện Điện Biên, tỉnh Điện Biên","Trồng cây cao su và sơ chế mủ Cao su; Dịch vụ hỗ trợ trồng mới cây Cao su; Trồng rừng, chế biến gỗ, chắn nuôi gia sức; Đại lý mua bán, phân phối cây giống, phân bón, các sản phẩm Cao su","100,00%",,,,1.0
46,46,46,Công ty Cổ phần Cao Su Lai Châu,"Tổ 5, phường Đoàn kết, thị xã Lai Châu, Tỉnh Lai Châu",Trồng cây cao su và sơ chế mủ cao su; Dịch vụ hỗ trợ trồng mới tiểu điện; Trồng rừng; Đại lý bón phân; Kinh doanh xuất nhập khẩu,"98,32%",,,,0.9832
47,47,47,Công ty Cổ phần Cao su Sa Thầy,"308E Phan Đình Phòng, Phường Ngô Mây, TP. Kon Tum, Tỉnh Kon Tum",Trồng và chăm sóc cây cao su,"95,36%",,,,0.9536
48,48,48,Công ty Cổ phần Đầu tư Phát triển Cao su Nghệ An,"Số 17, đường Phan Đăng Lưu, Phường Trường Thi, Thành phố Vinh, tỉnh Nghệ An","Trồng cây cao su; trồng, chăm sóc, khai thác và chế biến cao su nguyên chất; Trồng rừng và chăm sóc rừng","93,03%",,,,0.9303
49,49,49,Công ty Cổ phần Cao su Tân Biên Kampongthom,"Tổ 8, ắp Thạnh Phú, xã Tân Hiệp, huyện Tân Châu, tỉnh Tây Ninh",Trồng và chăm sóc cây cao su,"99,07%",,,,0.9906999999999999
50,50,50,Công ty Cổ phần Cao su Bà Rịa,"Huyện Châu Đức, tỉnh Bà Rịa, Vũng Tàu","Trồng, chăm sóc, khai thác, chế biến và kinh doanh mủ cao su thiên nhiên; dịch vụ khách sạn và du lịch","97,47%",,,,0.9747
51,51,51,Công ty Cổ phần Cao su Phú Riềng Kratic,"Thôn Phú Nguyên, huyện Phú Riềng, tỉnh Bình Phước",Sản xuất sản phẩm khác từ cao su; Trồng rừng và chăm sóc rừng; Trồng cây cao su,"70,00%",,,,0.7
52,52,52,Công ty Cổ phần VRG Phú Yên,"Thành phố Tuy Hòa, tỉnh Phú Yên","Đầu tư xây dựng, quản lý vận hành và kinh doanh điện thương phẩm các nhà máy thủy điện. Đầu tư trồng, khai thác, chế biến cao su","94,70%",,,,0.9470000000000001
