row_label_raw,row_label_full,03.1. Short-term accounts receivable,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Receivables from sale of domestic rubber latex,Receivables from sale of domestic rubber latex,Receivables from sale of domestic rubber latex,"340,027,591,386","355,324,469,569",,
Receivables from sale of export rubber latex,Receivables from sale of export rubber latex,Receivables from sale of export rubber latex,"461,338,404,261","211,554,771,809",,
"Receivables from rubber processing, pallet production, and wooden products manufacturing activities","Receivables from rubber processing, pallet production, and wooden products manufacturing activities","Receivables from rubber processing, pallet production, and wooden products manufacturing activities","370,243,993,816","391,614,955,000",,
Receivables from electricity production and business activities,Receivables from electricity production and business activities,Receivables from electricity production and business activities,"143,345,227,163","160,479,249,833",,
Receivables from sale of clearance or fallen rubber trees,Receivables from sale of clearance or fallen rubber trees,Receivables from sale of clearance or fallen rubber trees,"4,353,434,118","3,362,486,744",,
"Receivables from sale, transfer, and installation of mechanical structures, machinery, and equipment","Receivables from sale, transfer, and installation of mechanical structures, machinery, and equipment","Receivables from sale, transfer, and installation of mechanical structures, machinery, and equipment","47,922,641,906","54,021,902,237",,
"Receivables from consulting, supervision, and appraisal services in construction projects","Receivables from consulting, supervision, and appraisal services in construction projects","Receivables from consulting, supervision, and appraisal services in construction projects","570,964,000","942,045,250",,
Receivables from real estate transactions,Receivables from real estate transactions,Receivables from real estate transactions,-,"4,166,068",,
Receivables from leasing infrastructure in industrial parks or residential areas,Receivables from leasing infrastructure in industrial parks or residential areas,Receivables from leasing infrastructure in industrial parks or residential areas,"71,946,143,755","44,755,217,323",,
Receivables from leasing assets,Receivables from leasing assets,Receivables from leasing assets,"1,996,652,653","4,500,000",,
Receivables from sale of goods and provision of other services,Receivables from sale of goods and provision of other services,Receivables from sale of goods and provision of other services,"106,802,212,001","209,373,458,323",,
Total,Total,Total,"1,548,547,265,059","1,431,437,222,156",,
