row_label_raw,row_label_full,No,Name,Registered office's address,Principal activities,numeric__Name,numeric__Registered office's address,numeric__Principal activities
1,1,1,"Dong Nai Rubber Corporation One Member Co., Ltd.","Trung Tam Hamlet, Xuan Lap Commune, Long Khanh Town, Dong Nai Province","Planting, harvesting, processing, and trading natural rubber",,,
2,2,2,"Binh Long Rubber One Member Co., Ltd.","National Route 13, Hung Chien Ward, Binh Long Town, Binh Phuoc Province","Planting, caring for, harvesting, processing, and trading rubber and providing services for rubber development",,,
3,3,3,"Dau Tieng Rubber One Member Co., Ltd.","Dau Tieng Town, Dau Tieng District, Binh Duong Province","Planting, caring for, and harvesting natural rubber; planting forests, harvesting, and processing forestry, industrial, and agricultural crops",,,
4,4,4,"Loc Ninh Rubber One Member Co., Ltd.","Ninh Thuan Ward, Loc Ninh Town, Loc Ninh District, Binh Phuoc Province","Planting, caring for, harvesting, processing, and consuming rubber products; planting and caring for forests, harvesting forest products",,,
5,5,5,"Phu Rieng Rubber One Member Co., Ltd.","Phu Rieng Commune, Phu Rieng District, Binh Phuoc Province","Planting, harvesting, processing, and trading natural rubber",,,
6,6,6,"Krong Buk Rubber One Member Co., Ltd.","Ea Ho Commune, Krong Nang District, Dak Lak Province","Planting rubber, coffee, and short-term agricultural crops; trading, importing, and exporting rubber, rubber equipment, coffee, agricultural products, and food",,,
7,7,7,"Eah Leo Rubber One Member Co., Ltd.","499 Giai Phong Road, Ea Drang Town, Ea H'leo District, Dak Lak Province","Planting, caring for, harvesting, processing, and trading natural rubber",,,
8,8,8,"Chu Prong Rubber One Member Co., Ltd.","Ia Drang Commune, Chu Prong District, Gia Lai Province","Planting, harvesting, processing, and consuming rubber and coffee; wood production and processing; chemical industry, fertilizers, and rubber; mining and processing minerals; wholesale trade",,,
9,9,9,"Chu Se Rubber One Member Co., Ltd.","420 Hung Vuong, Chu Se Town, Chu Se District, Gia Lai Province",Planting; chemical industry fertilizers and rubber; wholesale trade; land reclamation and planting,,,
10,10,10,"Kon Tum Rubber One Member Co., Ltd","258 Phan Dinh Phung, Kon Tum City, Kon Tum Province","Planting, harvesting, caring for, and processing rubber",,,
11,11,11,"Mang Yang Rubber One Member Co., Ltd","536 Nguyen Hue, Dak Doa Town, Dak Doa District, Gia Lai Province","Wholesale rubber; mixed farming, planting rubber trees; fertilizer production and nitrogen compounds; wholesale of fertilizers, pesticides, and chemicals used in agriculture",,,
