row_label_raw,row_label_full,col_0,Số đã trình bày trên báo cáo năm trước,Số trình bày lại,numeric__Số đã trình bày trên báo cáo năm trước,numeric__Số trình bày lại
,,,Số cổ phiếu,Số cổ phiếu,,
Số lượng cổ phiếu phổ thông dấu năm,Số lượng cổ phiếu phổ thông dấu năm,Số lượng cổ phiếu phổ thông dấu năm,4.000.000.000,4.000.000.000,4000000000.0,4000000000.0
Ảnh hưởng của cổ phiếu quỹ bán ra trong năm,Ảnh hưởng của cổ phiếu quỹ bán ra trong năm,Ảnh hưởng của cổ phiếu quỹ bán ra trong năm,,,,
Số lượng bình quân gia quyền của cổ phiếu phổ thông,Ảnh hưởng của cổ phiếu quỹ bán ra trong năm > Số lượng bình quân gia quyền của cổ phiếu phổ thông,Số lượng bình quân gia quyền của cổ phiếu phổ thông,4.000.000.000,4.000.000.000,4000000000.0,4000000000.0
c. Lãi cơ bản trên cổ phiếu,Ảnh hưởng của cổ phiếu quỹ bán ra trong năm > c. Lãi cơ bản trên cổ phiếu,c. Lãi cơ bản trên cổ phiếu,485,487,485.0,487.0
