row_label_raw,row_label_full,24.2. Details of owner's contributions,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
State investment,State investment,State investment,"38,708,428,190,000","38,708,428,190,000",,
Other shareholders,Other shareholders,Other shareholders,"1,291,571,810,000","1,291,571,810,000",,
Total,Total,Total,"40,000,000,000,000","40,000,000,000,000",,
24.3. Capital transactions with owners,Total > 24.3. Capital transactions with owners,24.3. Capital transactions with owners,2024,2023,2024.0,2023.0
+ Contribution at the beginning of the year,+ Contribution at the beginning of the year,+ Contribution at the beginning of the year,"40,000,000,000,000","40,000,000,000,000",,
+ Contribution at the end of the period,+ Contribution at the end of the period,+ Contribution at the end of the period,"40,000,000,000,000","40,000,000,000,000",,
24.4. Funds of the Group,24.4. Funds of the Group,24.4. Funds of the Group,31/12/2024,01/01/2024,,
Investment and development funds,Investment and development funds,Investment and development funds,"6,577,606,883,132","5,408,494,473,494",,
Other funds of owner's equity,Other funds of owner's equity,Other funds of owner's equity,"252,909,421","252,909,421",,
Total,Total,Total,"6,577,859,792,553","5,408,747,382,915",,
24.5. Differences upon asset revaluation,24.5. Differences upon asset revaluation,24.5. Differences upon asset revaluation,31/12/2024,01/01/2024,,
Differences upon asset revaluation from equitization,Differences upon asset revaluation from equitization,Differences upon asset revaluation from equitization,"(1,574,186,166,104)","(1,574,186,166,104)",,
Total,Total,Total,"(1,574,186,166,104)","(1,574,186,166,104)",,
25. Budget sources,25. Budget sources,25. Budget sources,31/12/2024,01/01/2024,,
- Initial funding at the beginning of the year,- Initial funding at the beginning of the year,- Initial funding at the beginning of the year,"(53,804,697,590)","(39,714,829,908)",,
- Funding allocated during the period,- Funding allocated during the period,- Funding allocated during the period,"118,377,932,599","79,121,162,382",,
- Non-business expenditures,- Non-business expenditures,- Non-business expenditures,"(98,396,553,800)","(93,211,030,064)",,
- Remaining funding at the end of the period,- Remaining funding at the end of the period,- Remaining funding at the end of the period,"(33,823,318,791)","(53,804,697,590)",,
26. Outside the Consolidated Balance Sheet,26. Outside the Consolidated Balance Sheet,26. Outside the Consolidated Balance Sheet,31/12/2024,01/01/2024,,
a. Leased assets,a. Leased assets,a. Leased assets,,,,
b. Asset held in custody,b. Asset held in custody,b. Asset held in custody,"146,511,278,111","89,438,137,000",,
"- Goods held for consignment sale, deposit, pledged or mortgaged","- Goods held for consignment sale, deposit, pledged or mortgaged","- Goods held for consignment sale, deposit, pledged or mortgaged","146,511,278,111","89,438,137,000",,
c. Foreign currencies (USD),c. Foreign currencies (USD),c. Foreign currencies (USD),,,,
- USD,- USD,- USD,"43,002,243","30,359,359",,
- EUR,- USD > - EUR,- EUR,"447,507","1,022",447.507,1.022
- LAK,- USD > - LAK,- LAK,"485,765","485,765",485.765,485.765
- KHR,- KHR,- KHR,"2,995,796,343","999,738,501",,
- Foreign currencies,- KHR > - Foreign currencies,- Foreign currencies,"240,321","240,309",240.321,240.309
e. Bad debt written off,e. Bad debt written off,e. Bad debt written off,"104,159,646,348","67,845,979,308",,
