row_label_raw,row_label_full,19.1 Short-term advances from customers,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Advance from sale of domestic rubber latex,Advance from sale of domestic rubber latex,Advance from sale of domestic rubber latex,"171,303,385,128","255,010,189,431",,
Advance from sale of export rubber latex,Advance from sale of export rubber latex,Advance from sale of export rubber latex,"201,991,747,821","64,820,205,385",,
"Advance from rubber processing, pallet production, and wooden products manufacturing activities","Advance from rubber processing, pallet production, and wooden products manufacturing activities","Advance from rubber processing, pallet production, and wooden products manufacturing activities",-,"164,001,600",,
Advance from sale of clearance or fallen rubber trees,Advance from sale of clearance or fallen rubber trees,Advance from sale of clearance or fallen rubber trees,"9,767,747,569","44,959,517,109",,
"Advance from sale, transfer, and installation of mechanical structures, machinery, and equipment","Advance from sale, transfer, and installation of mechanical structures, machinery, and equipment","Advance from sale, transfer, and installation of mechanical structures, machinery, and equipment","6,739,060,000","10,823,620,000",,
Advance from leasing infrastructure in industrial parks or residential areas,Advance from leasing infrastructure in industrial parks or residential areas,Advance from leasing infrastructure in industrial parks or residential areas,"140,358,654,024","3,965,244,858",,
Advance from sale of goods and provision of other services,Advance from sale of goods and provision of other services,Advance from sale of goods and provision of other services,"16,518,618,385","20,131,470,310",,
Other short-term advances from customers,Other short-term advances from customers,Other short-term advances from customers,"72,306,271,198","118,760,153,088",,
Total,Total,Total,"618,985,484,125","518,634,401,781",,
19.2. Long-term advances from customers,19.2. Long-term advances from customers,19.2. Long-term advances from customers,31/12/2024,01/01/2024,,
Advance from real estate transactions,Advance from real estate transactions,Advance from real estate transactions,"78,723,068,619","78,701,769,117",,
Total,Total,Total,"78,723,068,619","78,701,769,117",,
