row_label_raw,row_label_full,No,Representative Office Name,Address,numeric__Representative Office Name,numeric__Address
1,1,1,Representative Office in Hanoi,"56 Nguyen Du, Hai Ba Trung District, Hanoi City",,
2,2,2,Representative Office in Cambodia,"7B, 466 Street, Chamkamom District, Phnom Penh, Cambodia",,
3,3,3,Representative Office in Laos,"Vientiane, Laos",,
