row_label_raw,row_label_full,Code,Items,Notes,Unit: VND,Unit: VND_1,numeric__Items,numeric__Notes,numeric__Unit: VND,numeric__Unit: VND_1
Code,Code,Code,Items,Notes,2024,2023,,,2024.0,2023.0
,,,III. Cash flows from financing activities,,-,-,,,,
31,31,31,1. Capital contribution and issuance of shares,,-,-,,,,
32,32,32,"2. Capital refunds to owners, repurchase of shares issued by the company",,-,-,,,,
33,33,33,3. Drawdown of borrowings,"6,577,822,955,117","4,572,002,442,848",,,,,
34,34,34,4. Repayment of borrowings,"(6,118,940,467,694)","(5,404,859,421,904)",,,,,
35,35,35,5. Repayment for finance lease,,-,-,,,,
36,36,36,"6. Dividends, profits paid to shareholders","(87,895,463,843)","(87,893,800,763)",,,,,
40,40,40,Net cash flows from financing activities,"370,987,023,580","(920,750,779,819)",,,,,
50,50,50,Net cash flows during the period (50 = 20+30+40),"187,670,432,686","1,240,753,908,836",,,,,
60,60,60,Cash and cash equivalents at the beginning of the year,"5,564,089,010,514","4,370,292,544,522",,,,,
61,61,61,Impact of exchange rate fluctuations,"27,096,219,994","(46,957,442,844)",,,,,
70,70,70,Cash and cash equivalents at the end of the period (70 = 50+60+61),"5,778,855,663,194","5,564,089,010,514",,,,,
