row_label_raw,row_label_full,04.1. Short-term advances to suppliers,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Advance to suppliers for domestic goods,Advance to suppliers for domestic goods,Advance to suppliers for domestic goods,"77,551,854,816","77,423,865,865",,
Advance to suppliers for imported goods,Advance to suppliers for imported goods,Advance to suppliers for imported goods,"937,215,150","37,282,279,426",,
Advance to suppliers for construction and building works,Advance to suppliers for construction and building works,Advance to suppliers for construction and building works,"57,126,212,607","41,924,006,684",,
Advance to suppliers for domestic services provided,Advance to suppliers for domestic services provided,Advance to suppliers for domestic services provided,"22,993,617,432","19,572,322,267",,
Other advance to suppliers,Other advance to suppliers,Other advance to suppliers,"195,871,492,457","253,304,438,340",,
Total,Total,Total,"354,480,392,462","429,506,912,582",,
04.2. Long-term advances to suppliers,04.2. Long-term advances to suppliers,04.2. Long-term advances to suppliers,31/12/2024,01/01/2024,,
Advance to suppliers for construction and building works,Advance to suppliers for construction and building works,Advance to suppliers for construction and building works,"191,700,000","191,700,000",,
Other advance to suppliers,Other advance to suppliers,Other advance to suppliers,"2,857,884,972","3,393,775,244",,
Total,Total,Total,"3,049,584,972","3,585,475,244",,
