row_label_raw,row_label_full,Indicators,Owners' contributed capital,Share premium,Other owners' equity,Treasury shares,Revaluation surplus,Total,numeric__Owners' contributed capital,numeric__Share premium,numeric__Other owners' equity,numeric__Treasury shares,numeric__Revaluation surplus,numeric__Total
,,,411,412,414,415,416,,411.0,412.0,414.0,415.0,416.0,
Opening balance of the previous year,Opening balance of the previous year,Opening balance of the previous year,"40,000,000,000,000","198,838,391,619","10,591,031,002","(959,568,311)","(1,574,186,166,104)","38,634,283,688,206",,,,,,
- Increase during the previous year,Opening balance of the previous year > - Increase during the previous year,- Increase during the previous year,,"126,994,363,803",,"34,301",,"126,994,398,104",,,,34.301,,
- Profit/loss for the current year,- Profit/loss for the current year,- Profit/loss for the current year,,,,,,,,,,,,
- Decrease during the previous year,- Decrease during the previous year,- Decrease during the previous year,,,,,,,,,,,,
Opening balance of the current year,Opening balance of the current year,Opening balance of the current year,"40,000,000,000,000","325,832,755,422","10,591,031,002","(959,534,010)","(1,574,186,166,104)","38,761,278,086,310",,,,,,
- Increase during the period,- Increase during the period,- Increase during the period,,,,,,-,,,,,,
- Profit/loss for the period,- Profit/loss for the period,- Profit/loss for the period,,,,,,"38,634,283,688,206",,,,,,
- Decrease during the period,- Decrease during the period,- Decrease during the period,,,,,,"38,634,283,688,206",,,,,,
Ending balance of the current year,Ending balance of the current year,Ending balance of the current year,"40,000,000,000,000","325,832,755,422","10,591,031,002","(959,534,010)","(1,574,186,166,104)","38,761,278,086,310",,,,,,
