row_label_raw,row_label_full,02. Đầu tư tài chính (Tiếp theo)02.3. Đầu tư góp vốn vào đơn vị khác,31/12/2024 > Giá gốc > 358.702.878.861,31/12/2024 > Dự phòng > (48.815.534.590),31/12/2024 > Giá trị hợp lý > 309.887.344.271,01/01/2024 > Giá gốc > 360.702.878.861,01/01/2024 > Dự phòng > (47.107.613.940),01/01/2024 > Giá trị hợp lý > 313.595.264.921,numeric__31/12/2024 > Giá gốc > 358.702.878.861,numeric__31/12/2024 > Dự phòng > (48.815.534.590),numeric__31/12/2024 > Giá trị hợp lý > 309.887.344.271,numeric__01/01/2024 > Giá gốc > 360.702.878.861,numeric__01/01/2024 > Dự phòng > (47.107.613.940),numeric__01/01/2024 > Giá trị hợp lý > 313.595.264.921
Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,3.850.000.000,(215.512.850),3.634.487.150,3.850.000.000,(215.512.850),3.634.487.150,3850000000.0,-215512850.0,3634487150.0,3850000000.0,-215512850.0,3634487150.0
Công ty CP EVN Quốc Tế (*),Công ty CP EVN Quốc Tế (*),Công ty CP EVN Quốc Tế (*),44.118.073.392,,44.118.073.392,44.118.073.392,,44.118.073.392,44118073392.0,,44118073392.0,44118073392.0,,44118073392.0
Công ty CP Du lịch Sài Gòn Đông Hà,Công ty CP Du lịch Sài Gòn Đông Hà,Công ty CP Du lịch Sài Gòn Đông Hà,13.877.341.956,(11.504.134.130),2.373.207.826,13.877.341.956,(7.784.515.153),6.092.826.803,13877341956.0,-11504134130.0,2373207826.0,13877341956.0,-7784515153.0,6092826803.0
Công ty CP Điện Việt Lào (*),Công ty CP Điện Việt Lào (*),Công ty CP Điện Việt Lào (*),79.567.924.335,,79.567.924.335,79.567.924.335,,79.567.924.335,79567924335.0,,79567924335.0,79567924335.0,,79567924335.0
Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,Tổng Công ty Xây dựng Thủy lợi 4 - CTCP,24.418.782.000,(5.581.048.286),18.837.733.714,24.418.782.000,(4.829.492.440),19.589.289.560,24418782000.0,-5581048286.0,18837733714.0,24418782000.0,-4829492440.0,19589289560.0
Công ty CP Đầu tư XD & XNK Cao su,Công ty CP Đầu tư XD & XNK Cao su,Công ty CP Đầu tư XD & XNK Cao su,1.500.000.000,(1.418.084.760),81.915.240,1.500.000.000,(1.116.653.096),383.346.904,1500000000.0,-1418084760.0,81915240.0,1500000000.0,-1116653096.0,383346904.0
Công ty CP BOT QL13 An Lộc-Hoa Lư,Công ty CP BOT QL13 An Lộc-Hoa Lư,Công ty CP BOT QL13 An Lộc-Hoa Lư,23.082.813.181,(23.082.813.181),,23.082.813.181,(23.082.813.181),,23082813181.0,-23082813181.0,,23082813181.0,-23082813181.0,
Công ty CP Đầu tư Vĩnh Sơn,Công ty CP Đầu tư Vĩnh Sơn,Công ty CP Đầu tư Vĩnh Sơn,51.808.000.000,(6.482.007.482),45.325.992.518,51.808.000.000,(9.546.693.319),42.261.306.681,51808000000.0,-6482007482.0,45325992518.0,51808000000.0,-9546693319.0,42261306681.0
Công ty CP Vi sinh Việt Mỹ,Công ty CP Vi sinh Việt Mỹ,Công ty CP Vi sinh Việt Mỹ,4.176.773.239,(531.933.901),3.644.839.338,4.176.773.239,(531.933.901),3.644.839.338,4176773239.0,-531933901.0,3644839338.0,4176773239.0,-531933901.0,3644839338.0
Công ty CP Địa Ốc MB (*),Công ty CP Địa Ốc MB (*),Công ty CP Địa Ốc MB (*),600.000.000,,600.000.000,600.000.000,,600.000.000,600000000.0,,600000000.0,600000000.0,,600000000.0
Công ty CP Mía đường Thanh Hóa (*),Công ty CP Mía đường Thanh Hóa (*),Công ty CP Mía đường Thanh Hóa (*),4.897.408.624,,4.897.408.624,4.897.408.624,,4.897.408.624,4897408624.0,,4897408624.0,4897408624.0,,4897408624.0
Công ty CP Tuấn Lộc Quảng Trị (*),Công ty CP Tuấn Lộc Quảng Trị (*),Công ty CP Tuấn Lộc Quảng Trị (*),3.000.000.000,,3.000.000.000,3.000.000.000,,3.000.000.000,3000000000.0,,3000000000.0,3000000000.0,,3000000000.0
Công ty CP CB Gỗ XK Địa ốc Cao su (*),Công ty CP CB Gỗ XK Địa ốc Cao su (*),Công ty CP CB Gỗ XK Địa ốc Cao su (*),303.998.714,,303.998.714,303.998.714,,303.998.714,303998714.0,,303998714.0,303998714.0,,303998714.0
Công ty Cổ phần Phú Việt Tín (*),Công ty Cổ phần Phú Việt Tín (*),Công ty Cổ phần Phú Việt Tín (*),12.500.000.000,,12.500.000.000,12.500.000.000,,12.500.000.000,12500000000.0,,12500000000.0,12500000000.0,,12500000000.0
Công ty CP Đầu tư Sài Gòn VRG (*),Công ty CP Đầu tư Sài Gòn VRG (*),Công ty CP Đầu tư Sài Gòn VRG (*),91.001.763.420,,91.001.763.420,91.001.763.420,,91.001.763.420,91001763420.0,,91001763420.0,91001763420.0,,91001763420.0
Công ty CP Phân vi sinh Quảng Trị (*),Công ty CP Phân vi sinh Quảng Trị (*),Công ty CP Phân vi sinh Quảng Trị (*),,,,2.000.000.000,,2.000.000.000,,,,2000000000.0,,2000000000.0
