row_label_raw,row_label_full,01. Cash and cash equivalents,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
- Cash,- Cash,- Cash,"119,656,850,569","117,250,653,591",,
- Cash at banks,- Cash at banks,- Cash at banks,"2,897,960,709,368","2,217,397,257,651",,
- Cash equivalents,- Cash equivalents,- Cash equivalents,"2,761,238,103,257","3,229,441,099,272",,
Total,Total,Total,"5,778,855,663,194","5,564,089,010,514",,
