row_label_raw,row_label_full,Category,Buildings and structures,Machinery and equipment,Motor vehicles,Office equipment,Commercial plantation,Other fixed assets,Total,numeric__Buildings and structures,numeric__Machinery and equipment,numeric__Motor vehicles,numeric__Office equipment,numeric__Commercial plantation,numeric__Other fixed assets,numeric__Total
Original cost,Original cost,Original cost,,,,,,,,,,,,,,
Beginning balance,Beginning balance,Beginning balance,"12,805,110,359,811","6,434,475,255,562","2,088,569,700,493","283,814,029,959","33,188,688,564,187","94,852,380,366","54,895,510,290,377",,,,,,,
Purchased during the period,Purchased during the period,Purchased during the period,"9,178,808,812","62,838,773,554","67,458,181,102","3,077,721,255","80,788,399,663","3,227,990,204","226,569,874,590",,,,,,,
- Completed basic construction investment,- Completed basic construction investment,- Completed basic construction investment,"351,068,007,919","89,679,605,367","18,969,175,570","5,940,616,804","1,830,036,414,103","1,792,124,726","2,297,485,944,489",,,,,,,
- Other increases,- Other increases,- Other increases,"10,454,868,662","1,204,360,459","3,276,964,888","104,860,000","190,416,504,724",-,"205,457,558,733",,,,,,,
- Difference from conversion of financial,- Difference from conversion of financial,- Difference from conversion of financial,"149,968,730,290","30,134,486,175","19,671,536,808","928,092,977","944,960,353,267","7,585,926","1,145,670,785,443",,,,,,,
- Tăng do phân loại lại,- Tăng do phân loại lại,- Tăng do phân loại lại,"3,822,944,138","105,026,184","192,225,245","(105,026,184)",-,-,"4,015,169,383",,,,,,,
"- Liquidation, sale","- Liquidation, sale","- Liquidation, sale","(30,239,743,689)","(13,911,626,876)","(24,257,778,003)","(2,618,377,652)","(372,547,589,051)","(323,895,885)","(443,899,011,156)",,,,,,,
- Other decreases,- Other decreases,- Other decreases,"(3,085,683,157)","(378,578,672)","(509,090,909)",-,"(3,491,402,521)",-,"(7,464,755,259)",,,,,,,
- Decrease from reclassification,- Decrease from reclassification,- Decrease from reclassification,-,-,"(465,141,431)",-,-,"(3,550,027,952)","(4,015,169,383)",,,,,,,
Ending balance,Ending balance,Ending balance,"13,296,278,292,786","6,604,147,301,753","2,172,905,773,763","291,141,917,159","35,858,851,244,372","96,006,157,385","58,319,330,687,217",,,,,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,,,,,,,,,,,,,,
Beginning balance,Beginning balance,Beginning balance,"7,335,428,573,434","4,248,112,890,058","1,479,505,260,810","251,377,557,636","7,180,668,422,972","74,449,859,991","20,569,542,564,901",,,,,,,
- Depreciation during the period,- Depreciation during the period,- Depreciation during the period,"529,758,345,487","257,623,351,359","99,226,273,317","7,282,329,033","1,679,718,330,589","3,598,331,362","2,577,206,961,147",,,,,,,
- Other increases,- Other increases,- Other increases,"144,520,340","11,395,443",-,"22,500,000","6,667,519",-,"185,083,302",,,,,,,
-Difference from conversion of financial,-Difference from conversion of financial,-Difference from conversion of financial,"69,224,869,586","13,221,793,336","11,088,968,332","633,517,135","182,393,564,852","3,806,555","276,566,519,796",,,,,,,
- Tăng do phân loại lại,- Tăng do phân loại lại,- Tăng do phân loại lại,"3,950,200,809",-,"192,225,245","8,844,106",-,-,"4,151,270,160",,,,,,,
"- Liquidation, sale","- Liquidation, sale","- Liquidation, sale","(28,294,660,034)","(13,752,083,812)","(24,108,773,258)","(2,618,377,652)","(248,274,413,000)","(323,895,885)","(317,372,203,641)",,,,,,,
- Other decreases,- Other decreases,- Other decreases,"(2,683,069,654)","(129,560,000)","(509,090,909)",-,"(198,555,648)",-,"(3,520,276,211)",,,,,,,
- Decrease from reclassification,- Other decreases > - Decrease from reclassification,- Decrease from reclassification,"(49,934)","(359,479,176)","(547,154,486)","432,647,599",-,"(3,677,234,163)","(4,151,270,160)",-49.934,,,,,,
Ending balance,Ending balance,Ending balance,"7,907,528,730,034","4,504,728,307,208","1,564,847,709,051","257,139,017,857","8,794,314,017,284","74,050,867,860","23,102,608,649,294",,,,,,,
Remaining value,Remaining value,Remaining value,,,,,,,,,,,,,,
- At the beginning of the year,- At the beginning of the year,- At the beginning of the year,"5,469,681,786,376","2,186,362,365,504","609,064,439,683","32,436,472,323","26,008,020,141,215","20,402,520,375","34,325,967,725,476",,,,,,,
- At the ending of the period,- At the ending of the period,- At the ending of the period,"5,388,749,562,751","2,099,418,994,545","608,058,064,712","34,002,899,302","27,064,537,227,088","21,955,289,525","35,216,722,037,923",,,,,,,
