row_label_raw,row_label_full,Chỉ tiêu,Sản xuất và kinh doanh mũ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, hất động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Sản xuất và kinh doanh mũ cao su,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, hất động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh điện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,,,,,,,,,,
Doanh thu thuần cho bến thử ba,Doanh thu thuần > Doanh thu thuần cho bến thử ba,Doanh thu thuần cho bến thử ba,20.355.904.261.697,820.050.999.272,2.087.073.224.244,864.800.097.903,500.000.000,552.247.204.380,1.561.368.327.349,-,26.241.944.114.845,20355904261697.0,820050999272.0,2087073224244.0,864800097903.0,500000000.0,552247204380.0,1561368327349.0,,26241944114845.0
Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần > Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần giữa các bộ phận (1),(4.770.752.884.472),-,(10.170.456.040),716.595.052,-,-,(351.861.473.209),5.132.068.218.669,-,-4770752884472.0,,-10170456040.0,716595052.0,,,-351861473209.0,5132068218669.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,15.585.151.377.225,820.050.999.272,2.076.902.768.204,865.516.692.955,500.000.000,552.247.204.380,1.209.506.854.140,5.132.068.218.669,26.241.944.114.845,15585151377225.0,820050999272.0,2076902768204.0,865516692955.0,500000000.0,552247204380.0,1209506854140.0,5132068218669.0,26241944114845.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,,,,,,,,,,
Khẩu hao tài sản cố định,Kết quả hoạt động kinh doanh > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,2.211.324.280.941,41.183.413.499,121.756.201.441,23.354.713.248,1.929.705.692,119.974.361.258,14.568.714.935,-,2.534.091.391.014,2211324280941.0,41183413499.0,121756201441.0,23354713248.0,1929705692.0,119974361258.0,14568714935.0,,2534091391014.0
Phần được chia từ lãi/(lỗ) của công ty liên kết,Kết quả hoạt động kinh doanh > Phần được chia từ lãi/(lỗ) của công ty liên kết,Phần được chia từ lãi/(lỗ) của công ty liên kết,45.633.055.550,-,75.925.608.725,40.326.482.561,-,-,-,-,161.885.146.836,45633055550.0,,75925608725.0,40326482561.0,,,,,161885146836.0
Thu nhập/(lỗ) trước thuế theo bộ phận (2),Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),3.407.590.278.566,315.046.594.734,118.294.396.948,330.914.897.559,(5.145.853.128),226.494.528.351,(208.348.230.721),62.703.994.157,4.247.550.606.466,3407590278566.0,315046594734.0,118294396948.0,330914897559.0,-5145853128.0,226494528351.0,-208348230721.0,62703994157.0,4247550606466.0
Tổng tài sản (3),Kết quả hoạt động kinh doanh > Tổng tài sản (3),Tổng tài sản (3),51.665.868.370.862,941.643.373.971,2.352.339.707.712,8.739.029.964.503,47.076.965.590,2.218.194.883.808,4.602.808.355.157,(5.835.666.185.237),64.731.295.436.366,51665868370862.0,941643373971.0,2352339707712.0,8739029964503.0,47076965590.0,2218194883808.0,4602808355157.0,-5835666185237.0,64731295436366.0
Tổng nợ phải trả (4),Kết quả hoạt động kinh doanh > Tổng nợ phải trả (4),Tổng nợ phải trả (4),10.278.405.612.916,119.490.413.200,239.204.797.709,10.127.062.763.475,10.959.301.368,108.698.963.553,1.008.722.868.315,(4.692.305.156.940),17.200.239.563.596,10278405612916.0,119490413200.0,239204797709.0,10127062763475.0,10959301368.0,108698963553.0,1008722868315.0,-4692305156940.0,17200239563596.0
