row_label_raw,row_label_full,Year,Depreciation Rate (%),Year_1,Depreciation Rate (%)_1,numeric__Depreciation Rate (%),numeric__Year_1,numeric__Depreciation Rate (%)_1
Year 1,Year 1,Year 1,"2,50",Year 11,"7,00",2.5,,7.0
Year 2,Year 2,Year 2,"2,80",Year 12,"6,60",2.8,,6.6
Year 3,Year 3,Year 3,"3,50",Year 13,"6,20",3.5,,6.2
Year 4,Year 4,Year 4,"4,40",Year 14,"5,90",4.4,,5.9
Year 5,Year 5,Year 5,"4,80",Year 15,"5,50",4.8,,5.5
Year 6,Year 6,Year 6,"5,40",Year 16,"5,40",5.4,,5.4
Year 7,Year 7,Year 7,"5,40",Year 17,"5,00",5.4,,5.0
Year 8,Year 8,Year 8,"5,10",Year 18,"5,50",5.1,,5.5
Year 9,Year 9,Year 9,"5,10",Year 19,"5,20",5.1,,5.2
Year 10,Year 10,Year 10,"5,00",,,5.0,,
