row_label_raw,row_label_full,Category,Machinery and equipment,Total,numeric__Machinery and equipment,numeric__Total
Original cost,Original cost,Original cost,,,,
Beginning balance,Beginning balance,Beginning balance,"1,866,940,741","1,866,940,741",,
- Finance lease during the period,- Finance lease during the period,- Finance lease during the period,"1,234,508,417","1,234,508,417",,
Ending balance,Ending balance,Ending balance,"3,101,449,158","3,101,449,158",,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,-,,
Beginning balance,Beginning balance,Beginning balance,"1,169,876,673","1,169,876,673",,
- Depreciation during the period,- Depreciation during the period,- Depreciation during the period,"956,439,818","956,439,818",,
Ending balance,Ending balance,Ending balance,"2,126,316,491","2,126,316,491",,
Remaining value,Remaining value,Remaining value,-,-,,
- At the beginning of the year,- At the beginning of the year,- At the beginning of the year,"697,064,068","697,064,068",,
- At the end of the period,- At the end of the period,- At the end of the period,"975,132,667","975,132,667",,
