row_label_raw,row_label_full,No,Name,Registered office's address,Main activity,Economic Benefit Ratio,numeric__Name,numeric__Registered office's address,numeric__Main activity,numeric__Economic Benefit Ratio
73,73,73,Phu Hoa Kampong Thom Rubber Development Company Limited,"Boeung Lavea Commune, Santuk District, Kampong Thom Province, Cambodia","Cultivation, care, exploitation, and processing of rubber latex.",66.62%,,,,66.62
74,74,74,North Dong Phu Industrial Park Joint Stock Company,"Bau Ke Hamlet, Tan Phu Town, Dong Phu District, Binh Phuoc Province","Real estate business, land use rights ownership, or lease; rubber tree cultivation; building houses of all kinds.",45.38%,,,,45.38
75,75,75,Binh Long Rubber Industrial Park Joint Stock Company,"Hamlet 3A, Minh Hung Commune, Chon Thanh District, Binh Phuoc Province","Real estate business, land use rights ownership, or lease; forest planting and care; construction of civil engineering works.",57.09%,,,,57.09
76,76,76,Yen Bai Rubber Joint Stock Company,"Hamlet 2, Tan Thinh Commune, Yen Bai City, Yen Bai Province",Rubber tree cultivation and preliminary processing of rubber latex,99.79%,,,,99.79
77,77,77,Dau Tieng Lao Cai Rubber Joint Stock Company,"No. 186, Hoang Lien Street, Coc Leu Ward, Lao Cai City, Lao Cai Province","Cultivation, care, exploitation, and processing of rubber latex.",89.12%,,,,89.12
78,78,78,Krong Buk Ratanakiri Rubber Joint Stock Company,"Ea Ho Commune, Krong Buk District, Dak Lak Province","Investment, care, processing, consumption of rubber, infrastructure investment and construction; rubber import-export business.",100.00%,,,,100.0
79,79,79,Chu Prong Stung Treng Rubber Joint Stock Company,"Ia Drang Commune, Chur Prông District, Gia Lai Province","Cultivation, care, exploitation, and processing of rubber latex.",99.86%,,,,99.86
80,80,80,Dau Tieng Kratie Rubber Joint Stock Company,"No. 33, Group 26, Hamlet 2, Dau Tieng Town, Dau Tieng District, Binh Duong Province","Cultivation, care, exploitation, and processing of rubber latex.",95.00%,,,,95.0
81,81,81,Dau Tieng Kampong Thom Rubber Joint Stock Company,"Group 2, Dau Tieng Town, Dau Tieng District, Binh Duong Province","Cultivation, care, exploitation, and processing of rubber latex.",97.99%,,,,97.99
82,82,82,Dong Nai Rubber Wood Processing Joint Stock Company,"Road No. 7, Long Khanh Industrial Park, Binh Loc Commune, Long Khanh Town, Dong Nai Province","Manufacturing plywood, veneer, plywood, and other thin wood products; timber exploitation; sawing, splitting, planing wood, and wood preservation; manufacturing furniture.",69.00%,,,,69.0
