row_label_raw,row_label_full,Related parties,Location,Relationships,numeric__Location,numeric__Relationships
VRG Dongwha MDF Wood Joint Stock Company,VRG Dongwha MDF Wood Joint Stock Company,VRG Dongwha MDF Wood Joint Stock Company,Binh Phuoc,Affiliate company.,,
VRG Sa Do Rubber Yarn Joint Stock Company,VRG Sa Do Rubber Yarn Joint Stock Company,VRG Sa Do Rubber Yarn Joint Stock Company,Dong Nai,Affiliate company.,,
Ben Thanh Rubber Joint Stock Company,Ben Thanh Rubber Joint Stock Company,Ben Thanh Rubber Joint Stock Company,Ho Chi Minh City,Affiliate company.,,
VRG Long Thanh Investment and Development Joint Stock Company,VRG Long Thanh Investment and Development Joint Stock Company,VRG Long Thanh Investment and Development Joint Stock Company,Dong Nai,Affiliate company.,,
BOT DT.741 Road Business Joint Stock Company,BOT DT.741 Road Business Joint Stock Company,BOT DT.741 Road Business Joint Stock Company,Binh Phuoc,Affiliate company.,,
Visorutex Joint Venture Enterprise,Visorutex Joint Venture Enterprise,Visorutex Joint Venture Enterprise,Ho Chi Minh City,Affiliate company.,,
Thong Nhat Joint Stock Company,Thong Nhat Joint Stock Company,Thong Nhat Joint Stock Company,Dong Nai,Affiliate company.,,
Vietnam - Laos Dau Tieng Rubber JSC,Vietnam - Laos Dau Tieng Rubber JSC,Vietnam - Laos Dau Tieng Rubber JSC,Laos,Affiliate company.,,
Chu Pah Rubber Wood Processing Joint Stock Company,Chu Pah Rubber Wood Processing Joint Stock Company,Chu Pah Rubber Wood Processing Joint Stock Company,Gia Lai,Affiliate company.,,
Vietnam Rubber Industry Urban and Industrial Park Development JSC,Vietnam Rubber Industry Urban and Industrial Park Development JSC,Vietnam Rubber Industry Urban and Industrial Park Development JSC,Hai Duong,Affiliate company.,,
