row_label_raw,row_label_full,16. Tài sản thuế thu nhập hoãn lại và thuế thu nhập hoãn lạia. Tài sản thuế thu nhập hoãn lại,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
16. Tài sản thuế thu nhập hoãn lại và thuế thu nhập hoãn lạia. Tài sản thuế thu nhập hoãn lại,16. Tài sản thuế thu nhập hoãn lại và thuế thu nhập hoãn lạia. Tài sản thuế thu nhập hoãn lại,16. Tài sản thuế thu nhập hoãn lại và thuế thu nhập hoãn lạia. Tài sản thuế thu nhập hoãn lại,245.690.231.161,115.055.154.691,245690231161.0,115055154691.0
- Thuế suất thuế TNDN sử dụng để xác định giá trị tài sản thuế thu nhập hoãn lại,- Thuế suất thuế TNDN sử dụng để xác định giá trị tài sản thuế thu nhập hoãn lại,- Thuế suất thuế TNDN sử dụng để xác định giá trị tài sản thuế thu nhập hoãn lại,20%,20%,0.2,0.2
- Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,- Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,- Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,245.690.231.161,115.055.154.691,245690231161.0,115055154691.0
b. Thuế thu nhập hoãn lại phải trả,b. Thuế thu nhập hoãn lại phải trả,b. Thuế thu nhập hoãn lại phải trả,4.291.419.969,4.291.419.969,4291419969.0,4291419969.0
- Thuế suất thuế TNDN sử dụng để xác định giá trị thuế thu nhập hoãn lại phải trả,- Thuế suất thuế TNDN sử dụng để xác định giá trị thuế thu nhập hoãn lại phải trả,- Thuế suất thuế TNDN sử dụng để xác định giá trị thuế thu nhập hoãn lại phải trả,20%,20%,0.2,0.2
- Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,- Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,- Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,4.291.419.969,4.291.419.969,4291419969.0,4291419969.0
17. Lợi thế thương mại,17. Lợi thế thương mại,17. Lợi thế thương mại,31/12/2024,01/01/2024,,
- Lợi thế thương mại đầu năm,17. Lợi thế thương mại > - Lợi thế thương mại đầu năm,- Lợi thế thương mại đầu năm,190.634.628.239,36.914.289.619,190634628239.0,36914289619.0
- Lợi thế thương mại tăng trong năm,17. Lợi thế thương mại > - Lợi thế thương mại tăng trong năm,- Lợi thế thương mại tăng trong năm,-,175.491.522.000,,175491522000.0
- Lợi thế thương mại đã phân bổ cuối năm,17. Lợi thế thương mại > - Lợi thế thương mại đã phân bổ cuối năm,- Lợi thế thương mại đã phân bổ cuối năm,(22.369.544.142),(21.771.183.380),-22369544142.0,-21771183380.0
Lợi thế thương mại cuối năm,17. Lợi thế thương mại > Lợi thế thương mại cuối năm,Lợi thế thương mại cuối năm,168.265.084.097,190.634.628.239,168265084097.0,190634628239.0
