row_label_raw,row_label_full,10. Other income,2024,2023,numeric__2024,numeric__2023
"- Income from the liquidation of rubber trees, broken or fallen trees","- Income from the liquidation of rubber trees, broken or fallen trees","- Income from the liquidation of rubber trees, broken or fallen trees","770,981,158,401","721,756,764,718",,
- Compensation,- Compensation,- Compensation,"227,052,231,668","557,687,068,730",,
- Fines received,- Fines received,- Fines received,"21,714,512,752","19,301,509,790",,
- Income from road repair and restoration activities in the rubber plantation,- Income from road repair and restoration activities in the rubber plantation,- Income from road repair and restoration activities in the rubber plantation,-,"1,130,430,000",,
- Sale of materials and scrap,- Sale of materials and scrap,- Sale of materials and scrap,"13,938,291,521","19,164,917,538",,
- Reversal of science and technology development fund,- Reversal of science and technology development fund,- Reversal of science and technology development fund,"32,978,105,725","19,366,278,686",,
- Support received from the rubber export insurance fund,- Support received from the rubber export insurance fund,- Support received from the rubber export insurance fund,"10,955,975,335","6,372,855,668",,
- Income from intercropping agricultural crops in rubber plantations,- Income from intercropping agricultural crops in rubber plantations,- Income from intercropping agricultural crops in rubber plantations,"54,577,443,097","53,395,957,353",,
Other income,Other income,Other income,"246,019,624,767","256,039,315,364",,
Total,Total,Total,"1,378,217,343,266","1,654,215,097,847",,
11. Other expenses,Total > 11. Other expenses,11. Other expenses,2024,2023,2024.0,2023.0
- Compensation,- Compensation,- Compensation,"333,963,789","1,216,667,917",,
- Penalties and late payment charges,- Penalties and late payment charges,- Penalties and late payment charges,"24,635,513,481","4,203,949,319",,
- Sale of materials and scrap,- Sale of materials and scrap,- Sale of materials and scrap,"8,077,516,235","9,236,696,222",,
- Costs for road repair and restoration activities in the rubber plantation,- Costs for road repair and restoration activities in the rubber plantation,- Costs for road repair and restoration activities in the rubber plantation,-,"2,675,858,363",,
- Damage costs from rubber trees,- Damage costs from rubber trees,- Damage costs from rubber trees,-,"149,738,107",,
- Other expenses,- Other expenses,- Other expenses,"478,538,838,126","318,368,516,702",,
Total,Total,Total,"511,585,831,631","335,851,426,630",,
12. Current corporate income tax expense,Total > 12. Current corporate income tax expense,12. Current corporate income tax expense,2024,2023,2024.0,2023.0
- Corporate income tax expense based on taxable income for the current year,- Corporate income tax expense based on taxable income for the current year,- Corporate income tax expense based on taxable income for the current year,"939,801,192,234","663,483,322,966",,
- Adjustment of corporate income tax expense from previous years into the current year's tax expense,- Adjustment of corporate income tax expense from previous years into the current year's tax expense,- Adjustment of corporate income tax expense from previous years into the current year's tax expense,"3,745,272,723","24,591,840,402",,
Total current corporate income tax expense,Total current corporate income tax expense,Total current corporate income tax expense,"943,546,464,957","688,075,163,368",,
13. Deferred corporate income tax expense,Total current corporate income tax expense > 13. Deferred corporate income tax expense,13. Deferred corporate income tax expense,2024,2023,2024.0,2023.0
- Deferred corporate income tax expense arising from taxable temporary differences,- Deferred corporate income tax expense arising from taxable temporary differences,- Deferred corporate income tax expense arising from taxable temporary differences,"(207,762,297,461)","(42,936,123,990)",,
- Deferred corporate income tax expense arising from the reversal of deferred tax assets,- Deferred corporate income tax expense arising from the reversal of deferred tax assets,- Deferred corporate income tax expense arising from the reversal of deferred tax assets,"44,287,062,483","95,891,137,497",,
Total deferred corporate income tax expense,Total deferred corporate income tax expense,Total deferred corporate income tax expense,"(163,475,234,978)","52,955,013,507",,
14. Basic earnings per share,14. Basic earnings per share,14. Basic earnings per share,,,,
