row_label_raw,row_label_full,Mr. Tran Cong Kha,Chairman,numeric__Chairman
Mr. Le Thanh Hung,Mr. Le Thanh Hung,Mr. Le Thanh Hung,Member,
Mr. Tran Ngoc Thuan,Mr. Tran Ngoc Thuan,Mr. Tran Ngoc Thuan,"Member (Resigned on 28 June, 2024)",
Mr. Do Huu Phuoc,Mr. Do Huu Phuoc,Mr. Do Huu Phuoc,"Member (Appointed on 17 June, 2024)",
Mr. Huynh Van Bao,Mr. Huynh Van Bao,Mr. Huynh Van Bao,"Member (Relieved of duties on 29 March, 2024)",
Mr. Pham Van Thanh,Mr. Pham Van Thanh,Mr. Pham Van Thanh,"Member (Relieved of duties on 29 March, 2024)",
Mr. Ha Van Khuong,Mr. Ha Van Khuong,Mr. Ha Van Khuong,Member,
Mr. Phan Manh Hung,Mr. Phan Manh Hung,Mr. Phan Manh Hung,"Member (Relieved of duties on 29 March, 2024)",
Mr. Nguyen Hay,Mr. Nguyen Hay,Mr. Nguyen Hay,Member,
Mr. Nguyen Dong Phong,Mr. Nguyen Dong Phong,Mr. Nguyen Dong Phong,"Member (Appointed on 17 June, 2024)",
