row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, bằng sáng chế","Phần mềm, bản quyền máy tính",Tài sân cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế","numeric__Phần mềm, bản quyền máy tính",numeric__Tài sân cố định vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,124.321.683.062,996.381.619,54.530.204.399,23.526.775.982,203.375.045.062,124321683062.0,996381619.0,54530204399.0,23526775982.0,203375045062.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,8.807.896.179,,5.254.793.773,,14.062.689.952,8807896179.0,,5254793773.0,,14062689952.0
- Chênh lệch do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,114.569.130,-,830.379.521,61.190.894,1.006.139.545,114569130.0,,830379521.0,61190894.0,1006139545.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(155.578.260),-,(1.039.925.000),,(1.195.503.260),-155578260.0,,-1039925000.0,,-1195503260.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,133.088.570.111,996.381.619,59.575.452.693,23.587.966.876,217.248.371.299,133088570111.0,996381619.0,59575452693.0,23587966876.0,217248371299.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,27.936.209.067,981.147.289,48.800.715.699,14.079.782.941,91.797.854.996,27936209067.0,981147289.0,48800715699.0,14079782941.0,91797854996.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.823.287.822,-,1.692.272.072,2.928.032.641,6.443.592.535,1823287822.0,,1692272072.0,2928032641.0,6443592535.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(155.578.260),,(1.039.925.000),-,(1.195.503.260),-155578260.0,,-1039925000.0,,-1195503260.0
- Chênh lệch do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,-,-,743.712.928,-,743.712.928,,,743712928.0,,743712928.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,29.603.918.629,981.147.289,50.196.775.699,17.007.815.582,97.789.657.199,29603918629.0,981147289.0,50196775699.0,17007815582.0,97789657199.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,96.385.473.995,15.234.330,5.729.488.700,9.446.993.041,111.577.190.066,96385473995.0,15234330.0,5729488700.0,9446993041.0,111577190066.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,103.484.651.482,15.234.330,9.378.676.994,6.580.151.294,119.458.714.100,103484651482.0,15234330.0,9378676994.0,6580151294.0,119458714100.0
