row_label_raw,row_label_full,Chỉ tiêu > Thuế giá trị gia tăng nội địa > Thuế giá trị gia tăng nhập khẩu,01/01/2024 > 17.891.224.810 > (48.134.631),Số phải nộp trong năm > 659.839.868.793 > 44.197.929.260,Số thực nộp trong năm > (673.859.601.421) > (44.249.645.143),31/12/2024 > 3.871.492.182 > (99.850.514),numeric__01/01/2024 > 17.891.224.810 > (48.134.631),numeric__Số phải nộp trong năm > 659.839.868.793 > 44.197.929.260,numeric__Số thực nộp trong năm > (673.859.601.421) > (44.249.645.143),numeric__31/12/2024 > 3.871.492.182 > (99.850.514)
"Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",16.316.834,38.913.219.067,(39.045.158.442),(115.622.541),16316834.0,38913219067.0,-39045158442.0,-115622541.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,1.359.337.683,1.435.831.242,(1.369.298.644),1.425.870.281,1359337683.0,1435831242.0,-1369298644.0,1425870281.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,154.882.773.525,914.834.887.601,(795.928.493.459),273.789.167.667,154882773525.0,914834887601.0,-795928493459.0,273789167667.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,6.760.444.123,55.965.485.301,(55.907.740.898),6.818.188.526,6760444123.0,55965485301.0,-55907740898.0,6818188526.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",(114.618.645.255),3.574.948.621.994,(3.442.276.834.238),18.053.142.501,-114618645255.0,3574948621994.0,-3442276834238.0,18053142501.0
Thuế báo vệ môi trường,Thuế báo vệ môi trường,Thuế báo vệ môi trường,959.211.770,9.643.901.516,(10.597.124.965),5.988.321,959211770.0,9643901516.0,-10597124965.0,5988321.0
Thuế môn bài,Thuế môn bài,Thuế môn bài,(2.000.000),538.159.100,(541.159.100),(5.000.000),-2000000.0,538159100.0,-541159100.0,-5000000.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(5.555.634.696),103.024.371.371,(92.965.537.848),4.503.198.827,-5555634696.0,103024371371.0,-92965537848.0,4503198827.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,78.893.328.754,1.230.871.805.749,(1.244.135.576.001),65.629.558.502,78893328754.0,1230871805749.0,-1244135576001.0,65629558502.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",(18.811.186.268),42.889.833.506,(59.407.664.068),(35.329.016.830),-18811186268.0,42889833506.0,-59407664068.0,-35329016830.0
Cộng,Cộng,Cộng,121.727.036.649,6.677.103.914.500,(6.460.283.834.227),338.547.116.922,121727036649.0,6677103914500.0,-6460283834227.0,338547116922.0
