row_label_raw,row_label_full,09.2. Long-term prepaid expenses,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
- Tool and supplies,- Tool and supplies,- Tool and supplies,"188,209,976,040","216,735,601,548",,
- Repair expenses,- Repair expenses,- Repair expenses,"152,110,716,894","177,755,558,298",,
- Research and development fund expenses,- Research and development fund expenses,- Research and development fund expenses,"816,509,906","478,751,506",,
- Prepaid land rental expenses,- Prepaid land rental expenses,- Prepaid land rental expenses,"4,443,839,289,961","2,654,566,441,380",,
- Brokerage commission expenses,- Brokerage commission expenses,- Brokerage commission expenses,"47,949,022,031","34,383,538,132",,
- Compensation expenses,- Compensation expenses,- Compensation expenses,"959,515,153,031","103,347,988,610",,
- Other expenses,- Other expenses,- Other expenses,"412,021,853,257","450,321,994,102",,
Total,Total,Total,"6,204,462,521,120","3,637,589,873,576",,
