row_label_raw,row_label_full,18.1 Short-term accounts payable to suppliers,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Payable to domestic suppliers for goods,Payable to domestic suppliers for goods,Payable to domestic suppliers for goods,"328,864,848,686","515,579,577,023",,
Payable to suppliers for imported goods,Payable to suppliers for imported goods,Payable to suppliers for imported goods,"74,166,027,001","14,366,936,365",,
"Payable for construction, installation, and building works","Payable for construction, installation, and building works","Payable for construction, installation, and building works","329,675,912,565","165,756,525,471",,
Payable for domestic services provided,Payable for domestic services provided,Payable for domestic services provided,"166,567,977,994","115,778,559,907",,
Other payable to suppliers,Other payable to suppliers,Other payable to suppliers,"90,728,756,437","119,912,414,649",,
Total,Total,Total,"990,003,522,683","931,394,013,415",,
