row_label_raw,row_label_full,Mr. Pham Van Hoi Em > Mr. Do Khac Tang,"Head of Board of Supervision (Appointed on 17 June, 2024) > Head of Board of Supervision (Relieved of duties on 17 June, 2024)","numeric__Head of Board of Supervision (Appointed on 17 June, 2024) > Head of Board of Supervision (Relieved of duties on 17 June, 2024)"
Mr. Nguyen Minh Duc,Mr. Nguyen Minh Duc,Mr. Nguyen Minh Duc,Member,
Mr. Vo Van Tuan,Mr. Vo Van Tuan,Mr. Vo Van Tuan,Member,
