row_label_raw,row_label_full,Description,Quantity,numeric__Quantity
- Total number of subsidiaries at the consolidation date,- Total number of subsidiaries at the consolidation date,- Total number of subsidiaries at the consolidation date,99 companies,
• Number of subsidiaries consolidated,• Number of subsidiaries consolidated,• Number of subsidiaries consolidated,99 companies,
• Number of subsidiaries not consolidated,• Number of subsidiaries not consolidated,• Number of subsidiaries not consolidated,0 companies,
- Total number of associated companies at the consolidation date,- Total number of associated companies at the consolidation date,- Total number of associated companies at the consolidation date,16 companies,
• Number of associated companies consolidated,• Number of associated companies consolidated,• Number of associated companies consolidated,16 companies,
• Number of associated companies not consolidated,• Number of associated companies not consolidated,• Number of associated companies not consolidated,0 companies,
