row_label_raw,row_label_full,Nghiệp vụ giao dịch chủ yếu với các bên liên quan trong năm,Nghiệp vụ giao dịch chủ yếu với các bên liên quan trong năm_1,Năm 2024,Năm 2023,numeric__Nghiệp vụ giao dịch chủ yếu với các bên liên quan trong năm_1,numeric__Năm 2024,numeric__Năm 2023
,,,,VND,VND,,,
Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Bán hàng hóa dịch vụ,1.237.959.081,49.073.402.360,,1237959081.0,49073402360.0
Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Mua hàng hóa dịch vụ,-,13.162.085.988,,,13162085988.0
Công ty CP Chỉ sợi Cao su VRG Sa do,Công ty CP Chỉ sợi Cao su VRG Sa do,Công ty CP Chỉ sợi Cao su VRG Sa do,Bán hàng hóa dịch vụ,52.132.750.000,30.586.231.325,,52132750000.0,30586231325.0
Công ty CP Chỉ sợi Cao su VRG Sa do,Công ty CP Chỉ sợi Cao su VRG Sa do,Công ty CP Chỉ sợi Cao su VRG Sa do,Mua hàng hóa dịch vụ,681.879.091,524.939.091,,681879091.0,524939091.0
Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Bán hàng hóa dịch vụ,28.121.651.259,22.028.786.000,,28121651259.0,22028786000.0
Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Công ty CP Cao su Bến Thành,Mua hàng hóa dịch vụ,2.099.727.960,1.502.641.000,,2099727960.0,1502641000.0
Công ty CP KD BOT Đường ĐT.741,Công ty CP KD BOT Đường ĐT.741,Công ty CP KD BOT Đường ĐT.741,Bán hàng hóa dịch vụ,71.763.491,131.022.769,,71763491.0,131022769.0
Công ty CP Thống Nhất,Công ty CP Thống Nhất,Công ty CP Thống Nhất,Bán hàng hóa dịch vụ,30.297.778,2.520.000,,30297778.0,2520000.0
Xí Nghiệp liên doanh Visorutex,Xí Nghiệp liên doanh Visorutex,Xí Nghiệp liên doanh Visorutex,Bán hàng hóa dịch vụ,49.692.000,177.120.000,,49692000.0,177120000.0
Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty CP Cao su Dầu Tiếng Việt Lào,Bán hàng hóa dịch vụ,612.668.200,491.774.000,,612668200.0,491774000.0
Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty CP Cao su Dầu Tiếng Việt Lào,Mua hàng hóa dịch vụ,135.738.986.805,128.711.523.000,,135738986805.0,128711523000.0
Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Mua hàng hóa dịch vụ,-,462.963,,,462963.0
Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Thu nhập từ bán cây cao su thanh lý,36.828.464.023,41.630.027.977,,36828464023.0,41630027977.0
