row_label_raw,row_label_full,06.1 Other short-term receivables,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
- Interest receivables from loans,- Interest receivables from loans,- Interest receivables from loans,"39,477,379,068","168,434,797,366",,
- Accrued interest receivables,- Accrued interest receivables,- Accrued interest receivables,"243,436,955,778","194,436,103,642",,
- Advances,- Advances,- Advances,"105,035,036,847","97,688,833,062",,
"- Mortgage, collateral and short term deposit","- Mortgage, collateral and short term deposit","- Mortgage, collateral and short term deposit","35,728,016,878","35,333,125,799",,
- Receivables for dividends and profit sharing,- Receivables for dividends and profit sharing,- Receivables for dividends and profit sharing,"8,737,937,251","47,209,887,233",,
- Receivables from employees,- Receivables from employees,- Receivables from employees,"26,739,108,046","14,324,518,632",,
- Receivables for insurance payments,- Receivables for insurance payments,- Receivables for insurance payments,"9,709,808,491","8,987,189,589",,
- Receivables for capital contributions in joint ventures,- Receivables for capital contributions in joint ventures,- Receivables for capital contributions in joint ventures,"6,123,082,641","20,774,962,320",,
- Other short-term receivables,- Other short-term receivables,- Other short-term receivables,"441,358,235,357","335,419,721,477",,
Total,Total,Total,"916,345,560,357","922,609,139,120",,
