row_label_raw,row_label_full,04.1. Trả trước cho người bán ngắn hạn,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Trả trước người bán về hàng hóa nội địa,Trả trước người bán về hàng hóa nội địa,Trả trước người bán về hàng hóa nội địa,77.551.854.816,77.423.865.865,77551854816.0,77423865865.0
Trả trước người bán về hàng hóa nhập khẩu,Trả trước người bán về hàng hóa nhập khẩu,Trả trước người bán về hàng hóa nhập khẩu,937.215.150,37.282.279.426,937215150.0,37282279426.0
"Trả trước người bán về thi công, xây lắp công trình xây dựng","Trả trước người bán về thi công, xây lắp công trình xây dựng","Trả trước người bán về thi công, xây lắp công trình xây dựng",57.126.212.607,41.924.006.684,57126212607.0,41924006684.0
Trả trước người bán về dịch vụ nội địa được cung cấp,Trả trước người bán về dịch vụ nội địa được cung cấp,Trả trước người bán về dịch vụ nội địa được cung cấp,22.993.617.432,19.572.322.267,22993617432.0,19572322267.0
Trả trước người bán khác,Trả trước người bán khác,Trả trước người bán khác,195.871.492.457,253.304.438.340,195871492457.0,253304438340.0
Cộng,Cộng,Cộng,354.480.392.462,429.506.912.582,354480392462.0,429506912582.0
04.2. Trả trước cho người bán dài hạn,04.2. Trả trước cho người bán dài hạn,04.2. Trả trước cho người bán dài hạn,31/12/2024,01/01/2024,,
"Trả trước người bán về thi công, xây lắp công trình xây dựng","04.2. Trả trước cho người bán dài hạn > Trả trước người bán về thi công, xây lắp công trình xây dựng","Trả trước người bán về thi công, xây lắp công trình xây dựng",191.700.000,191.700.000,191700000.0,191700000.0
Trả trước người bán khác,04.2. Trả trước cho người bán dài hạn > Trả trước người bán khác,Trả trước người bán khác,2.857.884.972,3.393.775.244,2857884972.0,3393775244.0
Cộng,04.2. Trả trước cho người bán dài hạn > Cộng,Cộng,3.049.584.972,3.585.475.244,3049584972.0,3585475244.0
