row_label_raw,row_label_full,20.1. Short-term accrued expenses,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
- Interests payable,- Interests payable,- Interests payable,"110,210,497,243","83,438,173,613",,
- Land rental,- Land rental,- Land rental,"5,395,585,866","16,822,415,017",,
- Outsourced service costs,- Outsourced service costs,- Outsourced service costs,"11,812,408,180","1,877,508,789",,
- Other expenses,- Other expenses,- Other expenses,"316,542,503,119","282,256,105,477",,
Total,Total,Total,"443,960,994,408","384,394,202,896",,
20.2. Long-term accrued expenses,20.2. Long-term accrued expenses,20.2. Long-term accrued expenses,31/12/2024,01/01/2024,,
- Land rental,- Land rental,- Land rental,"97,925,099,263",-,,
- Other expenses,- Other expenses,- Other expenses,"341,063,833,899","332,639,595,932",,
Total,Total,Total,"438,988,933,162","332,639,595,932",,
21. Unearned revenue,21. Unearned revenue,21. Unearned revenue,21. Unearned revenue,21. Unearned revenue,,
21.1. Short-term unearned revenue,21.1. Short-term unearned revenue,21.1. Short-term unearned revenue,31/12/2024,01/01/2024,,
"- Revenue from sales of products, goods, and services","- Revenue from sales of products, goods, and services","- Revenue from sales of products, goods, and services","38,445,845,288","39,183,658,618",,
"- Revenue from leasing infrastructure, residential areas","- Revenue from leasing infrastructure, residential areas","- Revenue from leasing infrastructure, residential areas","344,210,401,983","302,357,214,614",,
Total,Total,Total,"382,656,247,271","341,540,873,232",,
21.2. Long-term unearned revenue,21.2. Long-term unearned revenue,21.2. Long-term unearned revenue,31/12/2024,01/01/2024,,
"- Revenue from sales of products, goods, and services","- Revenue from sales of products, goods, and services","- Revenue from sales of products, goods, and services","19,754,049,925","3,230,585,284",,
"- Revenue from leasing infrastructure, residential areas","- Revenue from leasing infrastructure, residential areas","- Revenue from leasing infrastructure, residential areas","9,075,640,110,066","8,944,245,194,914",,
Total,Total,Total,"9,095,394,159,991","8,947,475,780,198",,
22. Other payables,22. Other payables,22. Other payables,22. Other payables,22. Other payables,,
22.1. Short-term other payables,22.1. Short-term other payables,22.1. Short-term other payables,31/12/2024,01/01/2024,,
- Excess assets awaiting resolution,22.1. Short-term other payables > - Excess assets awaiting resolution,- Excess assets awaiting resolution,6.944.987.821,6.930.605.778,6944987821.0,6930605778.0
- Union funds,22.1. Short-term other payables > - Union funds,- Union funds,17.443.084.730,18.035.232.533,17443084730.0,18035232533.0
- Mandatory insurance contributions,22.1. Short-term other payables > - Mandatory insurance contributions,- Mandatory insurance contributions,15.064.290.214,19.721.161.601,15064290214.0,19721161601.0
- Payable for privatization,22.1. Short-term other payables > - Payable for privatization,- Payable for privatization,75.109.000.000,75.109.000.000,75109000000.0,75109000000.0
- Short-term collateral and deposit,22.1. Short-term other payables > - Short-term collateral and deposit,- Short-term collateral and deposit,74.799.117.691,79.720.907.670,74799117691.0,79720907670.0
"- Dividends, profit payable","22.1. Short-term other payables > - Dividends, profit payable","- Dividends, profit payable",116.033.674.743,91.504.600.287,116033674743.0,91504600287.0
- Other short-term payables,22.1. Short-term other payables > - Other short-term payables,- Other short-term payables,803.038.561.279,738.327.541.466,803038561279.0,738327541466.0
Total,22.1. Short-term other payables > Total,Total,1.108.432.716.478,1.029.349.049.335,1108432716478.0,1029349049335.0
22.2. Long-term other payables,22.2. Long-term other payables,22.2. Long-term other payables,31/12/2024,01/01/2024,,
- Short-term collateral and deposit,- Short-term collateral and deposit,- Short-term collateral and deposit,"51,614,824,708","21,685,751,648",,
- Other long-term payables,- Other long-term payables,- Other long-term payables,"121,757,538,388","112,666,609,927",,
Total,Total,Total,"173,372,363,096","134,352,361,575",,
