row_label_raw,row_label_full,06.2 Other long-term receivables,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
- Interest receivables from loans,- Interest receivables from loans,- Interest receivables from loans,"11,573,468,157","11,810,876,616",,
"- Long-term mortgage, collateral and deposit","- Long-term mortgage, collateral and deposit","- Long-term mortgage, collateral and deposit","32,967,778,375","33,025,578,621",,
- Receivables for capital contributions in joint ventures,- Receivables for capital contributions in joint ventures,- Receivables for capital contributions in joint ventures,"32,017,132,078","33,072,423,996",,
- Other long-term receivables,- Other long-term receivables,- Other long-term receivables,"138,313,585,367","145,558,035,756",,
Total,Total,Total,"214,871,963,977","223,466,914,989",,
