row_label_raw,row_label_full,09.1. Short-term prepaid expenses,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
- Tool and supplies,- Tool and supplies,- Tool and supplies,"34,465,059,657","3,414,592,485",,
- Repair expenses,- Repair expenses,- Repair expenses,"3,755,609,718","1,419,471,172",,
- Other expenses,- Other expenses,- Other expenses,"39,079,842,422","64,346,528,933",,
Total,Total,Total,"77,300,511,797","69,180,592,590",,
