row_label_raw,row_label_full,Indicator,01/01/2024,Amount payable during the period,Amount actually paid during the period,31/12/2024,numeric__01/01/2024,numeric__Amount payable during the period,numeric__Amount actually paid during the period,numeric__31/12/2024
Domestic value added tax,Domestic value added tax,Domestic value added tax,"17,891,224,810","659,839,868,793","(673,859,601,421)","3,871,492,182",,,,
Import value added tax,Import value added tax,Import value added tax,"(48,134,631)","44,197,929,260","(44,249,645,143)","(99,850,514)",,,,
Export and import duties,Export and import duties,Export and import duties,"16,316,834","38,913,219,067","(39,045,158,442)","(115,622,541)",,,,
Special consumption tax,Special consumption tax,Special consumption tax,"1,359,337,683","1,435,831,242","(1,369,298,644)","1,425,870,281",,,,
Corporate income tax,Corporate income tax,Corporate income tax,"154,882,773,525","914,834,887,601","(795,928,493,459)","273,789,167,667",,,,
Resource tax,Resource tax,Resource tax,"6,760,444,123","55,965,485,301","(55,907,740,898)","6,818,188,526",,,,
Property and land rental tax,Property and land rental tax,Property and land rental tax,"(114,618,645,255)","3,574,948,621,994","(3,442,276,834,238)","18,053,142,501",,,,
Environmental protection tax,Environmental protection tax,Environmental protection tax,"959,211,770","9,643,901,516","(10,597,124,965)","5,988,321",,,,
Business license tax,Business license tax,Business license tax,"(2,000,000)","538,159,100","(541,159,100)","(5,000,000)",,,,
Personal income tax,Personal income tax,Personal income tax,"(5,555,634,696)","103,024,371,371","(92,965,537,848)","4,503,198,827",,,,
Other taxes,Other taxes,Other taxes,"78,893,328,754","1,230,871,805,749","(1,244,135,576,001)","65,629,558,502",,,,
"Fees, charges, and other payable amounts","Fees, charges, and other payable amounts","Fees, charges, and other payable amounts","(18,811,186,268)","42,889,833,506","(59,407,664,068)","(35,329,016,830)",,,,
Total,Total,Total,"121,727,036,649","6,677,103,914,500","(6,460,283,834,227)","338,547,116,922",,,,
