row_label_raw,row_label_full,04. Cost of goods sold (COGS),2024,2023,numeric__2024,numeric__2023
- COGS from rubber latex production and trade activities,- COGS from rubber latex production and trade activities,- COGS from rubber latex production and trade activities,"14,908,921,919,552","13,128,446,689,627",,
- COGS from rubber product production and trade activities,- COGS from rubber product production and trade activities,- COGS from rubber product production and trade activities,"413,597,097,379","436,964,031,703",,
- COGS from wood processing,- COGS from wood processing,- COGS from wood processing,"1,866,890,899,093","2,009,312,392,900",,
- COGS from real estate and infrastructure business,- COGS from real estate and infrastructure business,- COGS from real estate and infrastructure business,"291,554,969,729","300,616,678,578",,
- COGS from industrial zone infrastructure maintenance services,- COGS from industrial zone infrastructure maintenance services,- COGS from industrial zone infrastructure maintenance services,"6,247,111,221","6,231,018,996",,
- COGS from electricity and water sales services,- COGS from electricity and water sales services,- COGS from electricity and water sales services,"79,699,936,450","64,298,755,108",,
"- COGS from tourism, restaurant, and hotel services","- COGS from tourism, restaurant, and hotel services","- COGS from tourism, restaurant, and hotel services","146,158,884","146,158,884",,
- COGS from electricity sales,- COGS from electricity sales,- COGS from electricity sales,"268,869,356,370","275,972,294,186",,
- Other COGS,- Other COGS,- Other COGS,"1,431,439,363,707","953,516,652,792",,
Total,Total,Total,"19,267,366,812,385","17,175,504,672,774",,
05. Financial revenue,Total > 05. Financial revenue,05. Financial revenue,2024,2023,2024.0,2023.0
- Interest on deposits and loans,- Interest on deposits and loans,- Interest on deposits and loans,"762,415,426,281","949,266,779,492",,
- Dividends and profit distribution,- Dividends and profit distribution,- Dividends and profit distribution,"25,524,693,680","221,965,526",,
- Foreign exchange gains,- Foreign exchange gains,- Foreign exchange gains,"1,952,239,889","1,460,101,584",,
- Exchange rate differences,- Exchange rate differences,- Exchange rate differences,"162,363,197,633","141,407,131,745",,
- Interest on deferred sales and payment discounts,- Interest on deferred sales and payment discounts,- Interest on deferred sales and payment discounts,"3,198,081,269","7,148,070,921",,
- Other financial income / Reducing financial revenue,- Other financial income / Reducing financial revenue,- Other financial income / Reducing financial revenue,"1,754,125,231","15,288,547,017",,
Total,Total,Total,"957,207,763,983","1,114,792,596,285",,
06. Financial expenses,Total > 06. Financial expenses,06. Financial expenses,2024,2023,2024.0,2023.0
- Interest on loans,- Interest on loans,- Interest on loans,"352,905,202,449","477,578,421,406",,
- Foreign exchange losses,- Foreign exchange losses,- Foreign exchange losses,"1,251,910,997","24,253,000",,
- Loss from exchange rate differences,- Loss from exchange rate differences,- Loss from exchange rate differences,"109,989,212,314","107,967,562,998",,
- Provision for/ Reversal of provision for impairment of investments,- Provision for/ Reversal of provision for impairment of investments,- Provision for/ Reversal of provision for impairment of investments,"(5,399,477,856)","25,818,360,974",,
- Other financial expenses,- Other financial expenses,- Other financial expenses,"6,251,595,017","6,623,247,240",,
Total,Total,Total,"464,998,442,921","618,011,845,618",,
