row_label_raw,row_label_full,Bên liên quan,Địa điểm,Quan hệ,numeric__Địa điểm,numeric__Quan hệ
Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Công ty CP Gỗ MDF VRG Dongwha,Bình Phước,Công ty liên kết,,
Công ty CP Chỉ sợi Cao su VRG Sa do,Công ty CP Chỉ sợi Cao su VRG Sa do,Công ty CP Chỉ sợi Cao su VRG Sa do,Đồng Nai,Công ty liên kết,,
Công ty CP Cao su Bến Thánh,Công ty CP Cao su Bến Thánh,Công ty CP Cao su Bến Thánh,TP. Hồ Chí Minh,Công ty liên kết,,
Công ty CP ĐTPT VRG Long Thành,Công ty CP ĐTPT VRG Long Thành,Công ty CP ĐTPT VRG Long Thành,Đồng Nai,Công ty liên kết,,
Công ty CP KD BOT Đường ĐT.741,Công ty CP KD BOT Đường ĐT.741,Công ty CP KD BOT Đường ĐT.741,Bình Phước,Công ty liên kết,,
Xí Nghiệp liên doanh Visorutex,Xí Nghiệp liên doanh Visorutex,Xí Nghiệp liên doanh Visorutex,TP. Hồ Chí Minh,Công ty liên kết,,
Công ty CP Thống Nhất,Công ty CP Thống Nhất,Công ty CP Thống Nhất,Đồng Nai,Công ty liên kết,,
Công ty CP Cao su Dầu Tiếng Việt,Công ty CP Cao su Dầu Tiếng Việt,Công ty CP Cao su Dầu Tiếng Việt,Nước Lào,Công ty liên kết,,
Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Công ty CP Chế biến Gỗ Cao su Chư Pãh,Gia Lai,Công ty liên kết,,
Công ty CP PTĐT và KCN Cao su Việt Nam,Công ty CP PTĐT và KCN Cao su Việt Nam,Công ty CP PTĐT và KCN Cao su Việt Nam,Hải Dương,Công ty liên kết,,
