row_label_raw,row_label_full,08. Inventories,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Goods in transit,Goods in transit,Goods in transit,"4,005,186,126","9,909,112,369",,
Raw materials,Raw materials,Raw materials,"300,234,777,940","452,245,063,732",,
Tools and supplies,Tools and supplies,Tools and supplies,"211,777,876,342","211,621,024,903",,
Work in progress,Work in progress,Work in progress,"889,945,489,613","715,118,607,652",,
Finished goods,Finished goods,Finished goods,"2,030,593,373,979","1,787,759,336,395",,
Merchandise inventories,Merchandise inventories,Merchandise inventories,"903,006,921,900","186,540,304,553",,
Goods for sale,Goods for sale,Goods for sale,"20,614,905,681","11,198,524,232",,
Real estate,Real estate,Real estate,"13,745,601,075","13,745,601,075",,
Provision for Raw materials,Provision for Raw materials,Provision for Raw materials,"(1,927,109,766)","(751,382,751)",,
Provision for Tools and supplies,Provision for Tools and supplies,Provision for Tools and supplies,"(56,488,460)","(5,905,000)",,
Provision for Finished goods,Provision for Finished goods,Provision for Finished goods,"(16,988,744,455)","(22,069,281,616)",,
Provision for Merchandise inventories,Provision for Merchandise inventories,Provision for Merchandise inventories,"(3,406,454,206)","(5,035,837,383)",,
Provision for Goods for sale,Provision for Goods for sale,Provision for Goods for sale,"(34,865,443)","(34,865,443)",,
Total,Total,Total,"4,351,510,470,326","3,360,240,302,718",,
