row_label_raw,row_label_full,Indicators,Rubber latex production and trading,Production and trading of rubber products,Wood processing,"Construction, real estate, infrastructure","Tourism, restaurant, hotel services",Electricity business,Other business activities,Adjustments and eliminations,Total,numeric__Rubber latex production and trading,numeric__Production and trading of rubber products,numeric__Wood processing,"numeric__Construction, real estate, infrastructure","numeric__Tourism, restaurant, hotel services",numeric__Electricity business,numeric__Other business activities,numeric__Adjustments and eliminations,numeric__Total
Net revenue,Net revenue,Net revenue,Net revenue,Net revenue,Net revenue,Net revenue,Net revenue,Net revenue,Net revenue,Net revenue,Net revenue,,,,,,,,,
Net revenue from third parties,Net revenue from third parties,Net revenue from third parties,"20,355,904,261,697","820,050,999,272","2,087,073,224,244","864,800,097,903","500,000,000","552,247,204,380","1,561,368,327,349",-,"26,241,944,114,845",,,,,,,,,
Net revenue between segments(1),Net revenue between segments(1),Net revenue between segments(1),"(4,770,752,884,472)",-,"(10,170,456,040)","716,595,052",-,-,"(351,861,473,209)","5,132,068,218,669",-,,,,,,,,,
Total net revenue,Total net revenue,Total net revenue,"15,585,151,377,225","820,050,999,272","2,076,902,768,204","865,516,692,955","500,000,000","552,247,204,380","1,209,506,854,140","5,132,068,218,669","26,241,944,114,845",,,,,,,,,
Operating income,Operating income,Operating income,-,-,-,-,-,-,-,-,-,,,,,,,,,
Depreciation of fixed assets,Depreciation of fixed assets,Depreciation of fixed assets,"2,211,324,280,941","41,183,413,499","121,756,201,441","23,354,713,248","1,929,705,692","119,974,361,258","14,568,714,935",-,"2,534,091,391,014",,,,,,,,,
Share of profit/(loss) from associates,Share of profit/(loss) from associates,Share of profit/(loss) from associates,"45,633,055,550",-,"75,925,608,725","40,326,482,561",-,-,-,-,"161,885,146,836",,,,,,,,,
Income/(loss) before tax by segment (2),Income/(loss) before tax by segment (2),Income/(loss) before tax by segment (2),"3,407,590,278,566","315,046,594,734","118,294,396,948","330,914,897,559","(5,145,853,128)","226,494,528,351","(208,348,230,721)","62,703,994,157","4,247,550,606,466",,,,,,,,,
Total assets (3),Total assets (3),Total assets (3),"51,665,868,370,862","941,643,373,971","2,352,339,707,712","8,739,029,964,503","47,076,965,590","2,218,194,883,808","4,602,808,355,157","(5,835,666,185,237)","64,731,295,436,366",,,,,,,,,
Total liabilities (4),Total liabilities (4),Total liabilities (4),"10,278,405,612,916","119,490,413,200","239,204,797,709","10,127,062,763,475","10,959,301,368","108,698,963,553","1,008,722,868,315","(4,692,305,156,940)","17,200,239,563,596",,,,,,,,,
