row_label_raw,row_label_full,15. Long-term assets in progress,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
- Long-term work in progress,- Long-term work in progress,- Long-term work in progress,"195,804,240,940","196,926,030,106",,
- Construction in progress,- Construction in progress,- Construction in progress,"8,880,853,230,629","10,577,485,514,327",,
+ Rubber tree plantation under basic establishment,+ Rubber tree plantation under basic establishment,+ Rubber tree plantation under basic establishment,"7,222,142,538,679","8,773,472,369,139",,
+ Other tree,+ Other tree,+ Other tree,"62,934,344,395","29,393,348,932",,
+ Rubber processing factories and production lines,+ Rubber processing factories and production lines,+ Rubber processing factories and production lines,"15,508,750,924","57,462,305,263",,
"+ Transportation roads, dam","+ Transportation roads, dam","+ Transportation roads, dam","1,976,532,348","17,580,268,386",,
"+ Architectural works, infrastructure","+ Architectural works, infrastructure","+ Architectural works, infrastructure","711,871,018,525","768,834,960,256",,
+ Acquisition of fixed assets,+ Acquisition of fixed assets,+ Acquisition of fixed assets,"12,017,082,916","15,502,635,029",,
+ Other construction in progress,+ Other construction in progress,+ Other construction in progress,"854,402,962,842","915,239,627,322",,
Total,Total,Total,"9,076,657,471,569","10,774,411,544,433",,
