row_label_raw,row_label_full,Mr. Le Thanh Hung,General Director,numeric__General Director
Mr. Truong Minh Trung,Mr. Truong Minh Trung,Mr. Truong Minh Trung,Deputy General Director,
Mr. Tran Thanh Phung,Mr. Tran Thanh Phung,Mr. Tran Thanh Phung,Deputy General Director,
Mr. Do Huu Phuoc,Mr. Do Huu Phuoc,Mr. Do Huu Phuoc,Deputy General Director,
Mr. Huynh Kim Nhut,Mr. Huynh Kim Nhut,Mr. Huynh Kim Nhut,Deputy General Director,
Mr. Le Dinh Buu Tri,Mr. Le Dinh Buu Tri,Mr. Le Dinh Buu Tri,Deputy General Director,
Mr. Pham Hai Duong,Mr. Pham Hai Duong,Mr. Pham Hai Duong,Deputy General Director,
