row_label_raw,row_label_full,No,Guaranteed entity,Guarantee letter number,Date,Entity,Amount,Amount_1,Purpose,numeric__Guaranteed entity,numeric__Guarantee letter number,numeric__Date,numeric__Entity,numeric__Amount,numeric__Amount_1,numeric__Purpose
No,No,No,Guaranteed entity,Guarantee letter number,Date,Entity,USD,VND,Purpose,,,,,,,
1,1,1,Quang Nam Rubber Single Member Limited Liability Company,2473/CTBL-TCKT,29/8/2013,SHB,,"78,000,000,000",Rubber basic construction investment,,,,,,,
2,2,2,Quang Nam Rubber Single Member Limited Liability Company,2720/CTBL-TCKT,23/9/2013,SHB,,"88,546,900,000",Rubber basic construction investment (debt repayment to RFC),,,,,,,
3,3,3,VRG Phu Yen Rubber Joint Stock Company,1865/CSVN-TCKT,04/07/2013,Vietinbank -Phu Yen,,"191,733,798,000",La Hieng 2 Hydropower,,,,,,,
4,4,4,VRG Phu Yen Rubber Joint Stock Company,1593/CTBL-CSVN,06/04/2014,Vietinbank -Phu Yen,,"100,854,000,000",Debt repayment to RFC,,,,,,,
5,5,5,Dong Nai- Kratie Rubber Joint Stock Company,1346/CSVN-TCKT,21/05/2013,SHB- HCM City,"1,875,000",,Rubber basic construction investment,,,,,,,
6,6,6,Dong Nai- Kratie Rubber Joint Stock Company,496/CSVN-TCKT,10/03/2011,SHB-Da Nang City,,"91,280,000,000","Investment in 4,100 hectares of rubber in Campuchia",,,,,,,
7,7,7,Dong Nai Rubber Corporation,420/CSVN-TCKT,20/2/2013,VCB-Da Nang City,,"120,000,000,000",Rubber basic construction investment,,,,,,,
8,8,8,Son La Rubber Joint Stock Company,2376/CSVN-TCKT,08/10/2012,SHB-HCM City,,"9,240,000,000",Rubber basic construction investment,,,,,,,
9,9,9,Son La Rubber Joint Stock Company,3211/CTBL-TCKT,13/11/2013,SHB-HCM City,,"34,055,000,000",Rubber basic construction investment,,,,,,,
10,10,10,Son La Rubber Joint Stock Company,482/CTBL-TCKT,27/02/2014,SHB-HCM City,,"44,109,738,750",Rubber care investment (debt repayment to RFC),,,,,,,
11,11,11,Son La Rubber Joint Stock Company,569/CTBL-TCKT,10/3/2014,SHB-HCM City,,"39,503,800,000",Rubber basic construction investment,,,,,,,
12,12,12,Huong Khe Rubber Single Member Limited Liability Company,3544/CTBL-CSVN,9/12/2013,SHB,,"271,592,000,000",Rubber basic construction investment + debt repayment to RFC,,,,,,,
13,13,13,VRG Kien Giang MDF Wood Joint Stock Company,1891/CTBL-TCKT,6/7/2017,Vietinbank - HCM City,,"477,000,000,000",Investment in the wood processing plant project and forest project.,,,,,,,
,,,Total,,,,"1,875,000","1,545,915,236,750",,,,,,,,
