row_label_raw,row_label_full,Code,Items,Notes,2024,2023,numeric__Items,numeric__Notes,numeric__2024,numeric__2023
,,,I. Cash flows from operating activities,I. Cash flows from operating activities,I. Cash flows from operating activities,I. Cash flows from operating activities,,,,
01,01,01,1. Profit before tax,,"5,606,391,439,164","4,113,891,839,564",,,,
01,01,01,2. Adjustments for,,"1,539,662,029,573","353,560,926,443",,,,
02,02,02,- Depreciation for fixed assets,,"2,703,728,428,563","2,488,425,976,550",,,,
03,03,03,- Provisions,,"69,045,896,917","(43,408,958,719)",,,,
04,04,04,- Exchange profits/losses arising from revaluation of monetary items denominated in foreign currencies,,"(27,096,219,994)","46,957,442,844",,,,
05,05,05,- Profits/Losses from investing activities,,"(1,558,921,278,362)","(2,944,015,312,045)",,,,
06,06,06,- Interest expense,,"352,905,202,449","805,601,777,813",,,,
08,08,08,3. Operating profit before changes in working capital,,"7,146,053,468,737","4,467,452,766,007",,,,
09,09,09,- Increase/ Decrease in receivables,,"(16,162,233,548)","199,569,497,016",,,,
10,10,10,- Increase/ Decrease in inventories,,"(985,786,557,745)","842,676,980,101",,,,
11,11,11,"- Increase/ Decrease in payables(other than interest, corporate income tax)",,"1,214,983,143,497","(693,546,845,913)",,,,
12,12,12,- Increase/ Decrease in prepaid expenses,,"(2,574,992,566,751)","32,224,000,910",,,,
14,14,14,- Interest paid,,"(343,068,707,207)","(457,590,930,686)",,,,
15,15,15,- Corporate income tax paid,,"(795,928,493,459)","(621,751,502,843)",,,,
16,16,16,- Other income from operating activities,,"1,340,912,360,433","1,728,819,054,169",,,,
17,17,17,- Other payments for operating activities,,"(4,552,018,855,492)","(2,249,339,599,450)",,,,
20,20,20,Net cash flows from operating activities,,"433,991,558,465","3,248,513,419,311",,,,
,,,II. Cash flow from investing activities,II. Cash flow from investing activities,II. Cash flow from investing activities,II. Cash flow from investing activities,,,,
21,21,21,"1. Purchase, construction of fixed and other long-term assets",,"(596,299,774,505)","(964,954,528,436)",,,,
22,22,22,2. Proceeds from disposals of fixed assets and other long-term assets,,"352,338,150,870","611,336,137,318",,,,
23,23,23,3. Loans to other entities and payments for purchase of debt intrustment of other entities,,"(2,160,763,241,581)","(2,639,190,543,183)",,,,
24,24,24,4. Cilections from borrowers and proceeds from sale of debt instructments of other entities,,"1,439,382,494,042","1,538,729,973,579",,,,
25,25,25,5. Payments for investments in other entities,,"(10,885,806,298)","(12,303,056,383)",,,,
26,26,26,6. Proceeds from sale of investments in other entities,,-,"1,219,256,472",,,,
27,27,27,7. Interest and dividends received,,"358,920,028,113","378,154,029,977",,,,
30,30,30,Net cash flows from investing activities,,"(617,308,149,359)","(1,087,008,730,656)",,,,
