row_label_raw,row_label_full,06.1 Phải thu ngắn hạn khác,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
- Lãi vay phải thu về cho vay,- Lãi vay phải thu về cho vay,- Lãi vay phải thu về cho vay,39.477.379.068,168.434.797.366,39477379068.0,168434797366.0
- Lãi dự thu,- Lãi dự thu,- Lãi dự thu,243.436.955.778,194.436.103.642,243436955778.0,194436103642.0
- Tạm ứng,- Tạm ứng,- Tạm ứng,105.035.036.847,97.688.833.062,105035036847.0,97688833062.0
"- Cẩm cổ, ký quỹ, ký cược","- Cẩm cổ, ký quỹ, ký cược","- Cẩm cổ, ký quỹ, ký cược",35.728.016.878,35.333.125.799,35728016878.0,35333125799.0
- Phải thu về cổ tức và lợi nhuận được chia,- Phải thu về cổ tức và lợi nhuận được chia,- Phải thu về cổ tức và lợi nhuận được chia,8.737.937.251,47.209.887.233,8737937251.0,47209887233.0
- Phải thu người lao động,- Phải thu người lao động,- Phải thu người lao động,26.739.108.046,14.324.518.632,26739108046.0,14324518632.0
- Phải thu về các khoản bảo hiểm,- Phải thu về các khoản bảo hiểm,- Phải thu về các khoản bảo hiểm,9.709.808.491,8.987.189.589,9709808491.0,8987189589.0
- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh,6.123.082.641,20.774.962.320,6123082641.0,20774962320.0
- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,441.358.235.357,335.419.721.477,441358235357.0,335419721477.0
Cộng,Cộng,Cộng,916.345.560.357,922.609.139.120,916345560357.0,922609139120.0
