row_label_raw,row_label_full,01. Revenue from sale of goods and rendering of services,2024,2023,numeric__2024,numeric__2023
- Revenue from rubber latex production and trade activities,- Revenue from rubber latex production and trade activities,- Revenue from rubber latex production and trade activities,"20,380,976,879,748","16,818,510,922,613",,
- Revenue from rubber product production and trade activities,- Revenue from rubber product production and trade activities,- Revenue from rubber product production and trade activities,"820,050,999,272","110,207,906,431",,
- Revenue from wood processing,- Revenue from wood processing,- Revenue from wood processing,"2,087,073,224,244","558,125,795,595",,
- Revenue from real estate and infrastructure business,- Revenue from real estate and infrastructure business,- Revenue from real estate and infrastructure business,"741,714,023,713","295,126,287,879",,
- Revenue from industrial zone infrastructure maintenance services,- Revenue from industrial zone infrastructure maintenance services,- Revenue from industrial zone infrastructure maintenance services,"44,909,631,009","5,074,295,347",,
- Revenue from electricity and water sales services,- Revenue from electricity and water sales services,- Revenue from electricity and water sales services,"78,176,443,181","15,298,342,449",,
"- Revenue from tourism, restaurant, and hotel services","- Revenue from tourism, restaurant, and hotel services","- Revenue from tourism, restaurant, and hotel services","500,000,000","127,314,815",,
- Revenue from electricity sales,- Revenue from electricity sales,- Revenue from electricity sales,"552,247,204,380","122,434,801,164",,
- Revenue from the sale of goods and other services,- Revenue from the sale of goods and other services,- Revenue from the sale of goods and other services,"1,561,368,327,349","266,248,708,534",,
Total,Total,Total,"26,267,016,732,896","22,167,764,814,943",,
02. Deduction,Total > 02. Deduction,02. Deduction,2024,2023,2024.0,2023.0
- Trade discount,- Trade discount,- Trade discount,"20,408,787,126","23,023,859,423",,
- Sales discount,- Sales discount,- Sales discount,"2,433,928,768","1,312,551,880",,
- Sales returns,- Sales returns,- Sales returns,"2,229,902,157","5,025,251,154",,
Total,Total,Total,"25,072,618,051","29,361,662,457",,
03. Net revenue from sale of goods and rendering of services,Total > 03. Net revenue from sale of goods and rendering of services,03. Net revenue from sale of goods and rendering of services,2024,2023,2024.0,2023.0
- Net revenue from rubber latex production and trade activities,- Net revenue from rubber latex production and trade activities,- Net revenue from rubber latex production and trade activities,"20,355,904,261,697","16,789,149,260,156",,
- Net revenue from rubber product production and trade activities,- Net revenue from rubber product production and trade activities,- Net revenue from rubber product production and trade activities,"820,050,999,272","463,839,613,275",,
- Net revenue from wood processing,- Net revenue from wood processing,- Net revenue from wood processing,"2,087,073,224,244","2,363,231,642,697",,
- Net revenue from real estate and infrastructure business,- Net revenue from real estate and infrastructure business,- Net revenue from real estate and infrastructure business,"741,714,023,713","813,653,067,604",,
- Net revenue from industrial zone infrastructure maintenance services,- Net revenue from industrial zone infrastructure maintenance services,- Net revenue from industrial zone infrastructure maintenance services,"44,909,631,009","21,740,392,009",,
- Net revenue from electricity and water sales services,- Net revenue from electricity and water sales services,- Net revenue from electricity and water sales services,"78,176,443,181","72,900,357,226",,
"- Net revenue from tourism, restaurant, and hotel services","- Net revenue from tourism, restaurant, and hotel services","- Net revenue from tourism, restaurant, and hotel services","500,000,000","663,720,540",,
- Net revenue from electricity sales,- Net revenue from electricity sales,- Net revenue from electricity sales,"552,247,204,380","587,551,446,908",,
- Net revenue from the sale of goods and other services,- Net revenue from the sale of goods and other services,- Net revenue from the sale of goods and other services,"1,561,368,327,349","1,025,673,652,071",,
Total,Total,Total,"26,241,944,114,845","22,138,403,152,486",,
