row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc (*)","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc (*)","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,111.344.953.976,1.063.829.999,38.404.087.820,13.783.243.209,164.596.115.004,111344953976.0,1063829999.0,38404087820.0,13783243209.0,164596115004.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,7.338.771.150,57.772.728,5.395.094.000,1.576.959.831,14.368.597.709,7338771150.0,57772728.0,5395094000.0,1576959831.0,14368597709.0
- Chuyển sang hàng hóa bất động sản,Nguyên giá > - Chuyển sang hàng hóa bất động sản,- Chuyển sang hàng hóa bất động sản,(2.314.633.714),-,-,-,(2.314.633.714),-2314633714.0,,,,-2314633714.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(2.889.838.961),-,(2.889.838.961),,,-2889838961.0,,-2889838961.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.369.091.412,1.121.602.727,40.909.342.859,15.360.203.040,173.760.240.038,116369091412.0,1121602727.0,40909342859.0,15360203040.0,173760240038.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.782.922.836,176.339.279,11.725.627.061,4.466.091.700,20.150.980.876,3782922836.0,176339279.0,11725627061.0,4466091700.0,20150980876.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.518.039.151,194.206.394,4.570.316.054,2.931.148.444,12.213.710.043,4518039151.0,194206394.0,4570316054.0,2931148444.0,12213710043.0
- Chuyển sang hàng hóa bất động sản,Giá trị hao mòn lũy kế > - Chuyển sang hàng hóa bất động sản,- Chuyển sang hàng hóa bất động sản,(139.984.510),-,-,-,(139.984.510),-139984510.0,,,,-139984510.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.854.723.351),-,(1.854.723.351),,,-1854723351.0,,-1854723351.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,8.160.977.477,370.545.673,14.441.219.764,7.397.240.144,30.369.983.058,8160977477.0,370545673.0,14441219764.0,7397240144.0,30369983058.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,107.562.031.140,887.490.720,26.678.460.759,9.317.151.509,144.445.134.128,107562031140.0,887490720.0,26678460759.0,9317151509.0,144445134128.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,108.208.113.935,751.057.054,26.468.123.095,7.962.962.896,143.390.256.980,108208113935.0,751057054.0,26468123095.0,7962962896.0,143390256980.0
