row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Cộng,"numeric__Máy móc,thiết bị",numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,460.800.000,460.800.000,460800000.0,460800000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,460.800.000,460.800.000,460800000.0,460800000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,381.848.416,381.848.416,381848416.0,381848416.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,78.951.584,78.951.584,78951584.0,78951584.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,460.800.000,460.800.000,460800000.0,460800000.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,78.951.584,78.951.584,78951584.0,78951584.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,-,-,,
