row_label_raw,row_label_full,col_0,Giá trị quyền sử dụng đất (*),Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Giá trị quyền sử dụng đất (*),numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.096.485.616,47.833.120.232,374.727.273,56.304.333.121,8096485616.0,47833120232.0,374727273.0,56304333121.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,667.000.000,-,667.000.000,,667000000.0,,667000000.0
- Tăng do nâng cấp phần mềm,Nguyên giá > - Tăng do nâng cấp phần mềm,- Tăng do nâng cấp phần mềm,-,60.670.057.000,-,60.670.057.000,,60670057000.0,,60670057000.0
- Chuyển sang hàng hóa bất động sản,Nguyên giá > - Chuyển sang hàng hóa bất động sản,- Chuyển sang hàng hóa bất động sản,(216.209.848),-,-,(216.209.848),-216209848.0,,,-216209848.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,32.454.537,-,32.454.537,,32454537.0,,32454537.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.880.275.768,109.202.631.769,374.727.273,117.457.634.810,7880275768.0,109202631769.0,374727273.0,117457634810.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,12.530.836.588,299.593.856,12.830.430.444,,12530836588.0,299593856.0,12830430444.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,22.227.111.495,73.837.241,22.300.948.736,,22227111495.0,73837241.0,22300948736.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,-,34.083.324,-,34.083.324,,34083324.0,,34083324.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,34.792.031.407,373.431.097,35.165.462.504,,34792031407.0,373431097.0,35165462504.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,8.096.485.616,35.302.283.644,75.133.417,43.473.902.677,8096485616.0,35302283644.0,75133417.0,43473902677.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,7.880.275.768,74.410.600.362,1.296.176,82.292.172.306,7880275768.0,74410600362.0,1296176.0,82292172306.0
