row_label_raw,row_label_full,Phân phối lợi nhuận,Công ty mẹ,Các Công ty con,Cộng,numeric__Công ty mẹ,numeric__Các Công ty con,numeric__Cộng
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,(37.081.564.792),(2.102.414.478),(39.183.979.270),-37081564792.0,-2102414478.0,-39183979270.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",(18.540.782.396),(1.471.690.132),(20.012.472.528),-18540782396.0,-1471690132.0,-20012472528.0
Trích Quỹ khen thưởng Ban Điều hành,Trích Quỹ khen thưởng Ban Điều hành,Trích Quỹ khen thưởng Ban Điều hành,(7.416.312.958),-,(7.416.312.958),-7416312958.0,,-7416312958.0
