row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền,numeric__Hoạt động kinh doanh chính
Công ty Cổ phần truyền thông và Giải trí Ngôi Sao Mới,Công ty Cổ phần truyền thông và Giải trí Ngôi Sao Mới,Công ty Cổ phần truyền thông và Giải trí Ngôi Sao Mới,TP Hà Nội,80%,80%,"Cung cấp dịch vụ khai thác giá trị gia tăng trên mạng internet, quảng cáo, tổ chức giới thiệu xúc tiến thương mại, nghiên cứu thị trường.",,0.8,0.8,
Công ty Cổ phần bất động sản Cen Sài Gòn,Công ty Cổ phần bất động sản Cen Sài Gòn,Công ty Cổ phần bất động sản Cen Sài Gòn,TP Hà Nội,80%,80%,"Kinh doanh bất động sản, quyền sử dụng đất, thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; tư vấn môi giới, quản lý, quảng cáo bất động sản.",,0.8,0.8,
Công ty Cổ phần M&I Thế kỳ,Công ty Cổ phần M&I Thế kỳ,Công ty Cổ phần M&I Thế kỳ,TP Hà Nội,51%,51%,Môi giới bất động sản; sàn giao dịch bất động sản; tư vấn và quản lý bất động sản; tư vấn quản lý; dịch vụ hỗ trợ tài chính.,,0.51,0.51,
Công ty Cổ phần Cen Cuckoo (1),Công ty Cổ phần Cen Cuckoo (1),Công ty Cổ phần Cen Cuckoo (1),TP Hà Nội,100%,100%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,1.0,1.0,
Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN (2),Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN (2),Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN (2),TP Hà Nội,100%,100%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,1.0,1.0,
Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là:,Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là:,Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là:,Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là:,Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là:,Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là:,Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là:,,,,
Công ty CP Cen Housing,Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là: > Công ty CP Cen Housing,Công ty CP Cen Housing,"TP Hà Nội, Việt Nam",57%,57%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác",,0.57,0.57,
Công ty CP Cen Vĩnh Phúc,Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là: > Công ty CP Cen Vĩnh Phúc,Công ty CP Cen Vĩnh Phúc,"tỉnh Vĩnh Phúc, Việt Nam",51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác",,0.51,0.51,
Công ty CP Cen Miền Trung,Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là: > Công ty CP Cen Miền Trung,Công ty CP Cen Miền Trung,"TP Đà Nẵng, Việt Nam",51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác",,0.51,0.51,
Công ty CP Cen Bắc Ninh,Trong đó các công ty con gián tiếp được hợp nhất gián tiếp qua Công ty TNHH Đầu tư và Quản lý Thương hiệu CEN là: > Công ty CP Cen Bắc Ninh,Công ty CP Cen Bắc Ninh,"tỉnh Bắc Ninh, Việt Nam",51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác",,0.51,0.51,
