row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền,numeric__Hoạt động kinh doanh chính
Công ty CP Cen Quảng Ninh,Công ty CP Cen Quảng Ninh,Công ty CP Cen Quảng Ninh,"tỉnh Quảng Ninh, Việt Nam",51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác",,0.51,0.51,
Công ty CP Cen Stay,Công ty CP Cen Stay,Công ty CP Cen Stay,"TP Hà Nội, Việt Nam",51%,51%,"Thương mại điện tử; Dịch vụ du lịch, lưu trú; Môi giới, tư vấn bất động sản; Các nhóm ngành liên quan khác.",,0.51,0.51,
Công ty CP Xen Zone,Công ty CP Xen Zone,Công ty CP Xen Zone,"TP Hà Nội, Việt Nam",75%,75%,"Hoạt động tư vấn đầu tư, tư vấn quản lý; Tư vấn, môi giới, dấu giá bất động sản, dấu giá quyền sử dụng đất.",,0.75,0.75,
