row_label_raw,row_label_full,col_0,Hoạt động môi giớibắt động sản,Hoạt động chuyểnnhượng bất động sản,Hoạt động cho thuêvăn phòng và khác,Tổng cộng toàndoanh nghiệp,numeric__Hoạt động môi giớibắt động sản,numeric__Hoạt động chuyểnnhượng bất động sản,numeric__Hoạt động cho thuêvăn phòng và khác,numeric__Tổng cộng toàndoanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bánhàng ra bên ngoài,Doanh thu thuần từ bánhàng ra bên ngoài,Doanh thu thuần từ bánhàng ra bên ngoài,1.028.763.619.497,1.039.953.722.510,48.777.258.810,2.117.494.600.817,1028763619497.0,1039953722510.0,48777258810.0,2117494600817.0
Lợi nhuận gộp từ hoạtđộng kinh doanh,Lợi nhuận gộp từ hoạtđộng kinh doanh,Lợi nhuận gộp từ hoạtđộng kinh doanh,484.313.990.636,91.209.194.109,23.546.849.258,599.070.034.003,484313990636.0,91209194109.0,23546849258.0,599070034003.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,-,-,-,40.171.580.280,,,,40171580280.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.991.075.655.515,306.709.449.486,109.239.176.307,3.407.024.281.308,2991075655515.0,306709449486.0,109239176307.0,3407024281308.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,404.040.249.874,,,,404040249874.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,2.991.075.655.515,306.709.449.486,109.239.176.307,3.811.064.531.182,2991075655515.0,306709449486.0,109239176307.0,3811064531182.0
Nợ phải trả của các bộphận,Nợ phải trả của các bộphận,Nợ phải trả của các bộphận,851.306.638.307,238.575.375.757,34.969.961.172,1.124.851.975.236,851306638307.0,238575375757.0,34969961172.0,1124851975236.0
Nợ phải trả không phânbổ,Nợ phải trả không phânbổ,Nợ phải trả không phânbổ,-,-,-,641.914.698.892,,,,641914698892.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,851.306.638.307,238.575.375.757,34.969.961.172,1.766.766.674.128,851306638307.0,238575375757.0,34969961172.0,1766766674128.0
