row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thăng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn CSH,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Nguồn vốn đầu tư XDCB,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thăng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn CSH,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Nguồn vốn đầu tư XDCB,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.645.000.000.000,3.885.282.248,7.362.984.856,(148.162.639),(193.544.307.015),96.775.083.756,6.837.754.904,(128.080.050.574),215.795.689.718,-,2.653.884.275.254,2645000000000.0,3885282248.0,7362984856.0,-148162639.0,-193544307015.0,96775083756.0,6837754904.0,-128080050574.0,215795689718.0,,2653884275254.0
Lãi trong kỳ này,Lãi trong kỳ này,Lãi trong kỳ này,-,-,-,-,-,-,-,217.430.929.009,-,-,217.430.929.009,,,,,,,,217430929009.0,,,217430929009.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,-,444.438.180,36.524.231,(480.962.411),-,-,-,,,,,,444438180.0,36524231.0,-480962411.0,,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(1.628.305.346),-,-,(1.628.305.346),,,,,,,,-1628305346.0,,,-1628305346.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,500.997.691,-,-,500.997.691,,,,,,,,500997691.0,,,500997691.0
Phân chia lợi nhuận cho đối tác,Phân chia lợi nhuận cho đối tác,Phân chia lợi nhuận cho đối tác,-,-,-,-,-,-,-,794.690.494,-,-,794.690.494,,,,,,,,794690494.0,,,794690494.0
Do điều chỉnh hồi tố lợi nhuận năm trước,Do điều chỉnh hồi tố lợi nhuận năm trước,Do điều chỉnh hồi tố lợi nhuận năm trước,-,-,-,-,-,-,-,(13.005.903.574),-,-,(13.005.903.574),,,,,,,,-13005903574.0,,,-13005903574.0
Giảm khác,Giảm khác,Giảm khác,-,(46.169.013),-,-,-,-,-,(469.643.172),-,-,(515.812.185),,-46169013.0,,,,,,-469643172.0,,,-515812185.0
Lợi ích cổ đông không kiểm soát tăng trong năm,Lợi ích cổ đông không kiểm soát tăng trong năm,Lợi ích cổ đông không kiểm soát tăng trong năm,-,-,-,-,-,-,-,-,73.352.184.040,-,73.352.184.040,,,,,,,,,73352184040.0,,73352184040.0
