row_label_raw,row_label_full,a) Tài sản nhận giữ hộ,a) Tài sản nhận giữ hộ_1,a) Tài sản nhận giữ hộ_2,numeric__a) Tài sản nhận giữ hộ_1,numeric__a) Tài sản nhận giữ hộ_2
,,,31/12/2015,01/01/2015,,
,,,VND,VND,,
"Vật tư hàng hóa nhận giữ hộ, gia công, nhận ủy thác:","Vật tư hàng hóa nhận giữ hộ, gia công, nhận ủy thác:","Vật tư hàng hóa nhận giữ hộ, gia công, nhận ủy thác:",1.757.391.022,10.030.366.094,1757391022.0,10030366094.0
b) Ngoại tệ các loại,b) Ngoại tệ các loại,b) Ngoại tệ các loại,b) Ngoại tệ các loại,b) Ngoại tệ các loại,,
,,,31/12/2015,01/01/2015,,
USD,b) Ngoại tệ các loại > USD,USD,"3.119.955,07","2.203.379,79",3119955.07,2203379.79
EUR,b) Ngoại tệ các loại > EUR,EUR,"188.012,75","2.339,88",188012.75,2339.88
GBP,b) Ngoại tệ các loại > GBP,GBP,"437,00","437,00",437.0,437.0
c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,,
,,,31/12/2015,01/01/2015,,
,,,VND,VND,,
,,,2.345.769.952,969.210.989,2345769952.0,969210989.0
