row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộptrong năm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,10.429.003.127,189.135.601.310,248.761.793.664,341.892.326.012,33.913.153.630,119.489.219.465,10429003127.0,189135601310.0,248761793664.0,341892326012.0,33913153630.0,119489219465.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,517.642.358,-,-,-,517.642.358,,517642358.0,,,,517642358.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",103.829.739,-,5.564.842.159,5.530.547.707,91.312.074,21.776.787,103829739.0,,5564842159.0,5530547707.0,91312074.0,21776787.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,169.923.163,94.199.689.255,133.379.981.589,142.454.975.700,270.987.197,85.225.759.178,169923163.0,94199689255.0,133379981589.0,142454975700.0,270987197.0,85225759178.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,86.582.819,9.374.440.289,13.863.601.506,11.394.017.508,121.939.221,11.879.380.689,86582819.0,9374440289.0,13863601506.0,11394017508.0,121939221.0,11879380689.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,1.519.557,2.998.197.469,10.607.939.018,10.855.049.984,28.065.827,2.777.632.773,1519557.0,2998197469.0,10607939018.0,10855049984.0,28065827.0,2777632773.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,550.795.951.896,45.623.611.332,434.836.936.313,723.838.834,162.306.465.749,,550795951896.0,45623611332.0,434836936313.0,723838834.0,162306465749.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,18.358.046.800,17.733.203.402,14.755.836.145,-,21.335.414.057,,18358046800.0,17733203402.0,14755836145.0,,21335414057.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",145.357.000,17.167.893.162,14.579.906.742,20.547.699.904,172.910.546,11.227.653.546,145357000.0,17167893162.0,14579906742.0,20547699904.0,172910546.0,11227653546.0
,,,10.936.215.405,882.547.462.539,490.114.879.412,982.267.389.273,35.322.207.329,414.780.944.602,10936215405.0,882547462539.0,490114879412.0,982267389273.0,35322207329.0,414780944602.0
