row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm 2015 > VND,Từ 22/07/2014 đến 31/12/2014 > VND,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm 2015 > VND,numeric__Từ 22/07/2014 đến 31/12/2014 > VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,27,8.000.663.344.098,4.473.853.610.183,,27.0,8000663344098.0,4473853610183.0
02,02,02,2. Các khoản giảm trừ doanh thu,28,180.758.743.824,81.964.136.271,,28.0,180758743824.0,81964136271.0
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,29,7.819.904.600.274,4.391.889.473.912,,29.0,7819904600274.0,4391889473912.0
11,11,11,4. Giá vốn hàng bán,30,6.103.024.455.485,3.461.303.744.033,,30.0,6103024455485.0,3461303744033.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.716.880.144.789,930.585.729.879,,,1716880144789.0,930585729879.0
21,21,21,6. Doanh thu hoạt động tài chính,31,32.255.846.952,23.373.341.069,,31.0,32255846952.0,23373341069.0
22,22,22,7. Chi phí tài chính,32,198.505.470.495,108.153.197.589,,32.0,198505470495.0,108153197589.0
23,23,23,Trong đó: Chi phí lãi vay,,161.134.244.197,89.043.511.954,,,161134244197.0,89043511954.0
24,24,24,"8. Phân lãi hoặc lỗ trong công ty liên doanh, liên kết",4,33.417.259.548,10.269.566.931,,4.0,33417259548.0,10269566931.0
25,25,25,9. Chi phí bán hàng,33,537.174.161.143,263.432.599.058,,33.0,537174161143.0,263432599058.0
26,26,26,10. Chi phí quản lý doanh nghiệp,34,444.812.729.402,254.039.322.149,,34.0,444812729402.0,254039322149.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,602.060.890.249,338.603.519.083,,,602060890249.0,338603519083.0
31,31,31,12. Thu nhập khác,35,63.004.932.043,40.455.274.116,,35.0,63004932043.0,40455274116.0
32,32,32,13. Chi phí khác,36,140.790.944.987,48.738.229.089,,36.0,140790944987.0,48738229089.0
40,40,40,14. Lợi nhuận khác,,(77.786.012.944),(8.282.954.973),,,-77786012944.0,-8282954973.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,524.274.877.305,330.320.564.110,,,524274877305.0,330320564110.0
51,51,51,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,37,117.920.839.914,64.023.686.331,,37.0,117920839914.0,64023686331.0
52,52,52,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,38,(147.562.318),(247.728.846),,38.0,-147562318.0,-247728846.0
60,60,60,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,406.501.599.709,266.544.606.625,,,406501599709.0,266544606625.0
61,61,61,19. Lợi nhuận sau thuế của Công ty mẹ,,328.387.236.703,217.430.929.009,,,328387236703.0,217430929009.0
62,62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,78.114.363.006,49.113.677.616,,,78114363006.0,49113677616.0
70,70,70,21. Lãi cơ bản trên cổ phiếu,39,1.239,825,,39.0,1239.0,825.0
