row_label_raw,row_label_full,col_0,Năm 2015,Từ 22/07/2014đến 31/12/2014,numeric__Năm 2015,numeric__Từ 22/07/2014đến 31/12/2014
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",3.150.639.629.808,2.108.400.592.433,3150639629808.0,2108400592433.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,1.204.070.081.857,639.204.040.873,1204070081857.0,639204040873.0
"Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng",136.378.567.505,86.245.281.810,136378567505.0,86245281810.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,416.999.260.301,191.871.049.904,416999260301.0,191871049904.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",23.409.748.041,16.328.085.934,23409748041.0,16328085934.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,14.983.373.332,20.553.991.804,14983373332.0,20553991804.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,763.985.179.250,469.354.264.663,763985179250.0,469354264663.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,653.528.319.635,393.636.303.174,653528319635.0,393636303174.0
,,,6.363.994.159.729,3.925.593.610.595,6363994159729.0,3925593610595.0
