row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2015,Từ 22/07/2014đến 31/12/2014,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2015,numeric__Từ 22/07/2014đến 31/12/2014
,,,,,VND,VND,,,,
III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 31,31,"1. Tiền thu từ phát hành cố phiếu, nhận vốn góp của chủ sở hữu",,9.800.000.000,-,,,9800000000.0,
32,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 32,32,"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cố phiếu của doanh nghiệp đã phát hành",,(3.360.000),-,,,-3360000.0,
33,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 33,33,3. Tiền thu từ đi vay,,3.872.821.481.029,1.823.380.686.722,,,3872821481029.0,1823380686722.0
34,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 34,34,4. Tiền trả nợ gốc vay,,(4.089.771.877.448),(2.039.656.000.244),,,-4089771877448.0,-2039656000244.0
35,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 35,35,5. Tiền trả nợ gốc thuê tài chính,,(43.017.780.869),(8.214.887.242),,,-43017780869.0,-8214887242.0
36,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 36,36,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(84.435.191.535),-,,,-84435191535.0,
40,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(334.606.728.823),(224.490.200.764),,,-334606728823.0,-224490200764.0
50,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,,(319.841.560.057),215.186.207.517,,,-319841560057.0,215186207517.0
60,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,,1.026.375.030.780,810.974.355.340,,,1026375030780.0,810974355340.0
61,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,1.920.400.877,214.467.923,,,1920400877.0,214467923.0
70,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,3,708.453.871.600,1.026.375.030.780,,3.0,708453871600.0,1026375030780.0
