row_label_raw,row_label_full,col_0,Địa chỉ,31/12/2015 > Tỷ lệ lợi ích,31/12/2015 > Tỷ lệ quyền biểu quyết,31/12/2015 > Giá trị ghi số,01/01/2015 > Tỷ lệ lợi ích,01/01/2015 > Tỷ lệ quyền biểu quyết,01/01/2015 > Giá trị ghi số,numeric__Địa chỉ,numeric__31/12/2015 > Tỷ lệ lợi ích,numeric__31/12/2015 > Tỷ lệ quyền biểu quyết,numeric__31/12/2015 > Giá trị ghi số,numeric__01/01/2015 > Tỷ lệ lợi ích,numeric__01/01/2015 > Tỷ lệ quyền biểu quyết,numeric__01/01/2015 > Giá trị ghi số
,,,Địa chỉ,,,VND,,,VND,,,,,,,
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,,,,25.178.549.045,,,24.177.163.708,,,,25178549045.0,,,24177163708.0
- Công ty Cổ phần Viglacera Từ Sơn,- Công ty Cổ phần Viglacera Từ Sơn,- Công ty Cổ phần Viglacera Từ Sơn,Bắc Ninh,"24,93%","24,93%",11.348.189.227,"24,93%","24,93%",11.320.256.582,,0.2493,0.2493,11348189227.0,0.2493,0.2493,11320256582.0
- Công ty Cổ phần Viglacera Hạ Long I,- Công ty Cổ phần Viglacera Hạ Long I,- Công ty Cổ phần Viglacera Hạ Long I,Bắc Ninh,"26,00%","26,00%",5.062.619.209,"26,00%","26,00%",4.848.524.023,,0.26,0.26,5062619209.0,0.26,0.26,4848524023.0
- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Quảng Ninh,"25,00%","25,00%",6.982.571.465,"26,15%","26,15%",6.715.595.055,,0.25,0.25,6982571465.0,0.2615,0.2615,6715595055.0
- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,Hà Nội,"25,00%","25,00%",1.558.984.144,"25,00%","25,00%",1.066.603.048,,0.25,0.25,1558984144.0,0.25,0.25,1066603048.0
- Công ty Mango GMBH[1],- Công ty Mango GMBH[1],- Công ty Mango GMBH[1],CH Liên Bang Đức,"23,59%","30,00%",226.185.000,"23,59%","30,00%",226.185.000,,0.2359,0.3,226185000.0,0.2359,0.3,226185000.0
Đầu tư vào Công ty liên doanh,Đầu tư vào Công ty liên doanh,Đầu tư vào Công ty liên doanh,,,,213.943.758.159,,,181.481.054.390,,,,213943758159.0,,,181481054390.0
- Công ty TNHH Kính nổi Việt Nam (VFG),- Công ty TNHH Kính nổi Việt Nam (VFG),- Công ty TNHH Kính nổi Việt Nam (VFG),Bắc Ninh,"29,28%","29,28%",213.943.758.159,"29,28%","29,28%",181.481.054.390,,0.2928,0.2928,213943758159.0,0.2928,0.2928,181481054390.0
,,,,,,239.122.307.204,,,205.658.218.098,,,,239122307204.0,,,205658218098.0
"[1]Khoản đầu tư vào công ty liên kết này (do Công ty con thực hiện đầu tư) đang được trình bày theo giá gốc mà chưa được hợp nhất theo phương pháp vốn chủ. Tuy nhiên, vấn đề này được đánh giá là không có ảnh hưởng trọng yếu đến Báo cáo tài chính hợp nhất.","[1]Khoản đầu tư vào công ty liên kết này (do Công ty con thực hiện đầu tư) đang được trình bày theo giá gốc mà chưa được hợp nhất theo phương pháp vốn chủ. Tuy nhiên, vấn đề này được đánh giá là không có ảnh hưởng trọng yếu đến Báo cáo tài chính hợp nhất.","[1]Khoản đầu tư vào công ty liên kết này (do Công ty con thực hiện đầu tư) đang được trình bày theo giá gốc mà chưa được hợp nhất theo phương pháp vốn chủ. Tuy nhiên, vấn đề này được đánh giá là không có ảnh hưởng trọng yếu đến Báo cáo tài chính hợp nhất.","[1]Khoản đầu tư vào công ty liên kết này (do Công ty con thực hiện đầu tư) đang được trình bày theo giá gốc mà chưa được hợp nhất theo phương pháp vốn chủ. Tuy nhiên, vấn đề này được đánh giá là không có ảnh hưởng trọng yếu đến Báo cáo tài chính hợp nhất.","[1]Khoản đầu tư vào công ty liên kết này (do Công ty con thực hiện đầu tư) đang được trình bày theo giá gốc mà chưa được hợp nhất theo phương pháp vốn chủ. Tuy nhiên, vấn đề này được đánh giá là không có ảnh hưởng trọng yếu đến Báo cáo tài chính hợp nhất.","[1]Khoản đầu tư vào công ty liên kết này (do Công ty con thực hiện đầu tư) đang được trình bày theo giá gốc mà chưa được hợp nhất theo phương pháp vốn chủ. Tuy nhiên, vấn đề này được đánh giá là không có ảnh hưởng trọng yếu đến Báo cáo tài chính hợp nhất.","[1]Khoản đầu tư vào công ty liên kết này (do Công ty con thực hiện đầu tư) đang được trình bày theo giá gốc mà chưa được hợp nhất theo phương pháp vốn chủ. Tuy nhiên, vấn đề này được đánh giá là không có ảnh hưởng trọng yếu đến Báo cáo tài chính hợp nhất.","[1]Khoản đầu tư vào công ty liên kết này (do Công ty con thực hiện đầu tư) đang được trình bày theo giá gốc mà chưa được hợp nhất theo phương pháp vốn chủ. Tuy nhiên, vấn đề này được đánh giá là không có ảnh hưởng trọng yếu đến Báo cáo tài chính hợp nhất.","[1]Khoản đầu tư vào công ty liên kết này (do Công ty con thực hiện đầu tư) đang được trình bày theo giá gốc mà chưa được hợp nhất theo phương pháp vốn chủ. Tuy nhiên, vấn đề này được đánh giá là không có ảnh hưởng trọng yếu đến Báo cáo tài chính hợp nhất.","[1]Khoản đầu tư vào công ty liên kết này (do Công ty con thực hiện đầu tư) đang được trình bày theo giá gốc mà chưa được hợp nhất theo phương pháp vốn chủ. Tuy nhiên, vấn đề này được đánh giá là không có ảnh hưởng trọng yếu đến Báo cáo tài chính hợp nhất.",,,,,,,
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,
,,,Năm 2015,Năm 2015,Từ 22/07/2014 đến 31/12/2014,Từ 22/07/2014 đến 31/12/2014,Từ 22/07/2014 đến 31/12/2014,Từ 22/07/2014 đến 31/12/2014,Từ 22/07/2014 đến 31/12/2014,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
- Công ty TNHH Kính nổi Việt Nam (VFG),"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > - Công ty TNHH Kính nổi Việt Nam (VFG)",- Công ty TNHH Kính nổi Việt Nam (VFG),32.374.384.711,32.374.384.711,9.362.276.916,9.362.276.916,9.362.276.916,9.362.276.916,9.362.276.916,32374384711.0,32374384711.0,9362276916.0,9362276916.0,9362276916.0,9362276916.0,9362276916.0
- Công ty Cổ phần Viglacera Từ Sơn,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > - Công ty Cổ phần Viglacera Từ Sơn",- Công ty Cổ phần Viglacera Từ Sơn,27.932.645,27.932.645,173.168.451,173.168.451,173.168.451,173.168.451,173.168.451,27932645.0,27932645.0,173168451.0,173168451.0,173168451.0,173168451.0,173168451.0
- Công ty Cổ phần Viglacera Hạ Long I,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > - Công ty Cổ phần Viglacera Hạ Long I",- Công ty Cổ phần Viglacera Hạ Long I,227.356.446,227.356.446,78.905.786,78.905.786,78.905.786,78.905.786,78.905.786,227356446.0,227356446.0,78905786.0,78905786.0,78905786.0,78905786.0,78905786.0
- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > - Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera",- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,295.204.650,295.204.650,241.983.142,241.983.142,241.983.142,241.983.142,241.983.142,295204650.0,295204650.0,241983142.0,241983142.0,241983142.0,241983142.0,241983142.0
- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > - Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương",- Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Dương,492.381.096,492.381.096,413.232.636,413.232.636,413.232.636,413.232.636,413.232.636,492381096.0,492381096.0,413232636.0,413232636.0,413232636.0,413232636.0,413232636.0
,,,33.417.259.548,33.417.259.548,10.269.566.931,10.269.566.931,10.269.566.931,10.269.566.931,10.269.566.931,33417259548.0,33417259548.0,10269566931.0,10269566931.0,10269566931.0,10269566931.0,10269566931.0
